"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	50	0	"ROOT"
"2"	1	2	44	28	"Genetic"
"3"	1	3	44	0	"Genetic"
"4"	1	4	44	0	"Genetic"
"5"	1	5	44	0	"Genetic"
"6"	1	6	44	0	"Genetic"
"7"	1	7	44	0	"Genetic"
"8"	1	8	44	0	"Genetic"
"9"	1	9	44	0	"Genetic"
"10"	7	10	40	0	"Genetic"
"11"	3	11	36	33	"Genetic"
"12"	2	12	29	0	"Genetic"
"13"	7	13	26	0	"Genetic"
"14"	7	14	26	0	"Genetic"
"15"	10	15	26	0	"Genetic"
"16"	8	16	24	0	"Genetic"
"17"	10	17	24	0	"Genetic"
"18"	9	18	23	0	"Genetic"
"19"	1	19	14	0	"Genetic"
"20"	3	20	12	0	"Genetic"
"21"	6	21	12	0	"Genetic"
"22"	10	22	12	0	"Genetic"
"23"	4	23	11	0	"Genetic"
"24"	6	24	10	0	"Genetic"
"25"	7	25	9	0	"Genetic"
"26"	12	26	9	0	"Genetic"
"27"	4	27	7	0	"Genetic"
"28"	10	28	7	0	"Genetic"
"29"	7	29	2	0	"Genetic"
