"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0;0;0;0;0;0;0
0,1;1;0,5;0;0,5;0,33;299
0;0;0;0;0;0;0
0,1;1;0,25;0;0,25;0,16;297
0;0;0;0;0;0;0
0,1;1;0,17;0;0,17;0,11;295
0;0;0;0;0;0;0
0,1;1;1;0;1;0,08;293
0;0;0;0;0;0;0
0,1;1;0,9;0;0,9;0,06;291
0;0;0;0;0;0;0
0,1;1;0,75;0;0,75;0,05;289
0;0;0;0;0;0;0
0,1;1;0,64;0,07;0,57;0,05;287
0;0;0;0;0;0;0
0,1;1;0,56;0,06;0,5;0,04;285
0;0;0;0;0;0;0
0,1;1;0,56;0,06;0,5;0,04;283
0;0;0;0;0;0;0
0,1;1;0,6;0,05;0,55;0,03;281
0;0;0;0;0;0;0
0,1;1;0,59;0,05;0,54;0,03;279
0;0;0;0;0;0;0
0,1;1;0,54;0,04;0,5;0,03;277
0;0;0;0;0;0;0
0,1;1;0,5;0,04;0,46;0,02;275
0;0;0;0;0;0;0
0,1;1;0,46;0,04;0,42;0,02;273
0;0;0;0;0;0;0
0,1;1;0,43;0,03;0,4;0,02;271
0;0;0;0;0;0;0
0,1;1;0,44;0,03;0,41;0,02;269
0;0;0;0;0;0;0
0,1;1;0,47;0,03;0,44;0,02;267
0;0;0;0;0;0;0
0,1;1;0,56;0,03;0,53;0,02;265
0;0;0;0;0;0;0
0,1;1;0,61;0,03;0,58;0,02;263
0;0;0;0;0;0;0
0,1;1;0,58;0,03;0,55;0,02;261
0;0;0;0;0;0;0
0,1;1;0,55;0,02;0,53;0,02;259
0;0;0;0;0;0;0
0,1;1;0,52;0,02;0,5;0,01;257
0;0;0;0;0;0;0
0,1;1;0,54;0,02;0,52;0,01;255
0;0;0;0;0;0;0
0,1;1;0,54;0,08;0,46;0,01;253
0;0;0;0;0;0;0
0,1;1;0,54;0,08;0,46;0,01;251
0;0;0;0;0;0;0
0,1;1;0,54;0,08;0,46;0,01;249
0;0;0;0;0;0;0
0,1;1;0,96;0,07;0,89;0,01;247
0;0;0;0;0;0;0
0,1;1;0,95;0,07;0,88;0,01;245
0;0;0;0;0;0;0
0,1;1;0,95;0,07;0,88;0,01;243
0;0;0;0;0;0;0
0,1;1;0,93;0,07;0,86;0,01;241
0;0;0;0;0;0;0
0,1;1;0,95;0,08;0,87;0,01;239
0;0;0;0;0;0;0
0,1;1;0,92;0,08;0,84;0,01;237
0;0;0;0;0;0;0
0,1;1;0,91;0,12;0,79;0,01;235
0;0;0;0;0;0;0
0,1;1;1;0,12;0,88;0,01;233
0;0;0;0;0;0;0
0,1;1;1,04;0,14;0,9;0,01;231
0;0;0;0;0;0;0
0,1;1;1,06;0,14;0,92;0,01;229
0;0;0;0;0;0;0
0,1;1;1,14;0,14;1;0,01;227
0;0;0;0;0;0;0
0,1;1;1,11;0,13;0,98;0,01;225
0;0;0;0;0;0;0
0,1;1;1,08;0,13;0,95;0,01;223
0;0;0;0;0;0;0
0,1;1;1,07;0,12;0,95;0,01;221
0;0;0;0;0;0;0
0,1;1;1,07;0,12;0,95;0,01;219
0;0;0;0;0;0;0
0,1;1;1,26;0,12;1,14;0,01;217
0;0;0;0;0;0;0
0,1;1;1,44;0,12;1,32;0,01;215
0;0;0;0;0;0;0
0,1;1;1,47;0,11;1,36;0,01;213
0;0;0;0;0;0;0
0,1;1;1,48;0,11;1,37;0,01;211
0;0;0;0;0;0;0
0,1;1;1,5;0,11;1,39;0,01;209
0;0;0;0;0;0;0
0,1;1;1,54;0,11;1,43;0,01;207
0;0;0;0;0;0;0
0,1;1;1,64;0,11;1,53;0,01;205
0;0;0;0;0;0;0
0,1;1;1,67;0,27;1,4;0,01;203
0;0;0;0;0;0;0
0,1;1;1,72;0,33;1,39;0,01;201
0;0;0;0;0;0;0
0,1;1;1,78;0,33;1,45;0,01;199
0;0;0;0;0;0;0
0,1;1;2,62;0,34;2,28;0,01;197
0;0;0;0;0;0;0
0,1;1;2,7;0,35;2,35;0,01;195
0;0;0;0;0;0;0
0,1;1;2,94;0,35;2,59;0,01;193
0;0;0;0;0;0;0
0,1;1;2,96;0,35;2,61;0,01;191
0;0;0;0;0;0;0
0,1;1;2,97;0,35;2,62;0,01;189
0;0;0;0;0;0;0
0,1;1;2,96;0,34;2,62;0,01;187
0;0;0;0;0;0;0
0,1;1;3,1;0,36;2,74;0,01;185
0;0;0;0;0;0;0
0,1;1;3,24;0,37;2,87;0,01;183
0;0;0;0;0;0;0
0,1;1;3,36;0,38;2,98;0,01;181
0;0;0;0;0;0;0
0,1;1;3,42;0,49;2,93;0,01;179
0;0;0;0;0;0;0
0,1;1;3,58;0,48;3,1;0,01;177
0;0;0;0;0;0;0
0,1;1;3,56;0,48;3,08;0,01;175
0;0;0;0;0;0;0
0,1;1;3,52;0,48;3,04;0;173
0;0;0;0;0;0;0
0,1;1;3,47;0,48;2,99;0;171
0;0;0;0;0;0;0
0,1;1;3,48;0,47;3,01;0;169
0;0;0;0;0;0;0
0,1;1;3,54;0,48;3,06;0;167
0;0;0;0;0;0;0
0,1;1;3,97;0,47;3,5;0;165
0;0;0;0;0;0;0
0,1;1;4,11;0,48;3,63;0;163
0;0;0;0;0;0;0
0,1;1;4,17;0,49;3,68;0;161
0;0;0;0;0;0;0
0,1;1;4,26;0,52;3,74;0;159
0;0;0;0;0;0;0
0,1;1;4,4;0,53;3,87;0;157
0;0;0;0;0;0;0
0,1;1;4,6;0,62;3,98;0;155
0;0;0;0;0;0;0
0,1;1;4,76;0,72;4,04;0;153
0;0;0;0;0;0;0
0,1;1;5,01;1,21;3,8;0;151
0;0;0;0;0;0;0
0,1;1;5,25;1,49;3,76;0;149
0;0;0;0;0;0;0
0,1;1;5,48;1,6;3,88;0;147
0;0;0;0;0;0;0
0,1;1;6,04;1,78;4,26;0;145
0;0;0;0;0;0;0
0,1;1;6,51;1,93;4,58;0;143
0;0;0;0;0;0;0
0,1;1;6,61;1,94;4,67;0;141
0;0;0;0;0;0;0
0,1;1;6,65;1,97;4,68;0;139
0;0;0;0;0;0;0
0,1;1;6,8;1,99;4,81;0;137
0;0;0;0;0;0;0
0,1;1;7,27;2,04;5,23;0;135
0;0;0;0;0;0;0
0,1;1;7,96;2,08;5,88;0;133
0;0;0;0;0;0;0
0,1;1;8,82;2,07;6,75;0;131
0;0;0;0;0;0;0
0,1;1;9,6;2,13;7,47;0;129
0;0;0;0;0;0;0
0,1;1;10,39;2,16;8,23;0;127
0;0;0;0;0;0;0
0,1;1;11,28;2,19;9,09;0;125
0;0;0;0;0;0;0
0,1;1;12,17;2,17;10;0;123
0;0;0;0;0;0;0
0,1;1;13,18;2,17;11,01;0;121
0;0;0;0;0;0;0
0,1;1;14,99;2,16;12,83;0;119
0;0;0;0;0;0;0
0,1;1;17,19;2,19;15;0;117
0;0;0;0;0;0;0
0,1;1;20,7;2,21;18,49;0;115
0;0;0;0;0;0;0
0,1;1;23,95;2,29;21,66;0;113
0;0;0;0;0;0;0
0,1;1;26,93;2,36;24,57;0;111
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0,2;1;0,5;0;0,5;0,33;299
0;0;0;0;0;0;0
0,2;1;0,25;0;0,25;0,16;297
0;0;0;0;0;0;0
0,2;1;0,17;0;0,17;0,11;295
0;0;0;0;0;0;0
0,2;1;1;0;1;0,08;293
0;0;0;0;0;0;0
0,2;1;0,9;0;0,9;0,06;291
0;0;0;0;0;0;0
0,2;1;0,75;0;0,75;0,05;289
0;0;0;0;0;0;0
0,2;1;0,64;0,07;0,57;0,05;287
0;0;0;0;0;0;0
0,2;1;0,62;0,06;0,56;0,04;285
0;0;0;0;0;0;0
0,2;1;0,56;0,06;0,5;0,04;283
0;0;0;0;0;0;0
0,2;1;0,6;0,1;0,5;0,03;281
0;0;0;0;0;0;0
0,2;1;0,59;0,09;0,5;0,03;279
