"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0,1;1;0,5;0;0,5;9,34198915734652e-05;299;2
0;0;0;0;0;0;0;0
0,1;1;0,25;0;0,25;3,37478703499502e-05;297;4
0;0;0;0;0;0;0;0
0,1;1;0,17;0;0,17;3,50207642165534e-05;295;6
0;0;0;0;0;0;0;0
0,1;1;1;0;1;0,000450505311442066;293;8
0;0;0;0;0;0;0;0
0,1;1;0,9;0;0,9;0,000180404616803811;291;10
0;0;0;0;0;0;0;0
0,1;1;0,75;0;0,75;0,000102594816994059;289;12
0;0;0;0;0;0;0;0
0,1;1;0,64;0,07;0,57;7,12822361706142e-05;287;14
0;0;0;0;0;0;0;0
0,1;1;0,56;0,06;0,5;5,31849156272599e-05;285;16
0;0;0;0;0;0;0;0
0,1;1;0,56;0,06;0,5;4,32506229491235e-05;283;18
0;0;0;0;0;0;0;0
0,1;1;0,6;0,05;0,55;3,58112193424613e-05;281;20
0;0;0;0;0;0;0;0
0,1;1;0,59;0,05;0,54;2,87340620054792e-05;279;22
0;0;0;0;0;0;0;0
0,1;1;0,54;0,04;0,5;2,36554823355303e-05;277;24
0;0;0;0;0;0;0;0
0,1;1;0,5;0,04;0,46;1,96489953887948e-05;275;26
0;0;0;0;0;0;0;0
0,1;1;0,46;0,04;0,42;1,70360049529899e-05;273;28
0;0;0;0;0;0;0;0
0,1;1;0,43;0,03;0,4;1,47671903603299e-05;271;30
0;0;0;0;0;0;0;0
0,1;1;0,44;0,03;0,41;1,30967259959301e-05;269;32
0;0;0;0;0;0;0;0
0,1;1;0,47;0,03;0,44;1,16016619142075e-05;267;34
0;0;0;0;0;0;0;0
0,1;1;0,56;0,03;0,53;1,04694234244544e-05;265;36
0;0;0;0;0;0;0;0
0,1;1;0,61;0,03;0,58;9,56354883990637e-06;263;38
0;0;0;0;0;0;0;0
0,1;1;0,58;0,03;0,55;8,64408787516828e-06;261;40
0;0;0;0;0;0;0;0
0,1;1;0,55;0,02;0,53;7,94238487505038e-06;259;42
0;0;0;0;0;0;0;0
0,1;1;0,52;0,02;0,5;7,38254601833275e-06;257;44
0;0;0;0;0;0;0;0
0,1;1;0,54;0,02;0,52;6,82660740511817e-06;255;46
0;0;0;0;0;0;0;0
0,1;1;0,54;0,08;0,46;6,54279269768295e-06;253;48
0;0;0;0;0;0;0;0
0,1;1;0,54;0,08;0,46;6,06977155597934e-06;251;50
0;0;0;0;0;0;0;0
0,1;1;0,54;0,08;0,46;5,75377597352024e-06;249;52
0;0;0;0;0;0;0;0
0,1;1;0,96;0,07;0,89;5,85994915839512e-06;247;54
0;0;0;0;0;0;0;0
0,1;1;0,95;0,07;0,88;5,6302386874689e-06;245;56
0;0;0;0;0;0;0;0
0,1;1;0,95;0,07;0,88;5,37084828570744e-06;243;58
0;0;0;0;0;0;0;0
0,1;1;0,93;0,07;0,86;5,14847184157759e-06;241;60
0;0;0;0;0;0;0;0
0,1;1;0,95;0,08;0,87;4,94107126711316e-06;239;62
0;0;0;0;0;0;0;0
0,1;1;0,92;0,08;0,84;4,76846495356257e-06;237;64
0;0;0;0;0;0;0;0
0,1;1;0,91;0,12;0,79;4,57892836722463e-06;235;66
0;0;0;0;0;0;0;0
0,1;1;1;0,12;0,88;4,43480728038102e-06;233;68
0;0;0;0;0;0;0;0
0,1;1;1,04;0,14;0,9;4,31719134278898e-06;231;70
0;0;0;0;0;0;0;0
0,1;1;1,06;0,14;0,92;4,12925535306629e-06;229;72
0;0;0;0;0;0;0;0
0,1;1;1,14;0,14;1;3,90421447784201e-06;227;74
0;0;0;0;0;0;0;0
0,1;1;1,11;0,13;0,98;3,69363285772015e-06;225;76
0;0;0;0;0;0;0;0
0,1;1;1,08;0,13;0,95;3,51098902528398e-06;223;78
0;0;0;0;0;0;0;0
0,1;1;1,07;0,12;0,95;3,33627624972118e-06;221;80
0;0;0;0;0;0;0;0
0,1;1;1,07;0,12;0,95;3,17014211059872e-06;219;82
0;0;0;0;0;0;0;0
0,1;1;1,26;0,12;1,14;3,02047544430838e-06;217;84
0;0;0;0;0;0;0;0
0,1;1;1,44;0,12;1,32;2,91830114280808e-06;215;86
0;0;0;0;0;0;0;0
0,1;1;1,47;0,11;1,36;2,83376713004096e-06;213;88
0;0;0;0;0;0;0;0
0,1;1;1,48;0,11;1,37;2,75083327463256e-06;211;90
0;0;0;0;0;0;0;0
0,1;1;1,5;0,11;1,39;2,66668451751258e-06;209;92
0;0;0;0;0;0;0;0
0,1;1;1,54;0,11;1,43;2,57768211466556e-06;207;94
0;0;0;0;0;0;0;0
0,1;1;1,64;0,11;1,53;2,53160253131652e-06;205;96
0;0;0;0;0;0;0;0
0,1;1;1,67;0,27;1,4;2,56572536857732e-06;203;98
0;0;0;0;0;0;0;0
0,1;1;1,72;0,33;1,39;2,54127904603659e-06;201;100
0;0;0;0;0;0;0;0
0,1;1;1,78;0,33;1,45;2,51952498191765e-06;199;102
0;0;0;0;0;0;0;0
0,1;1;2,62;0,34;2,28;2,64275590716658e-06;197;104
0;0;0;0;0;0;0;0
0,1;1;2,7;0,35;2,35;2,70301489679983e-06;195;106
0;0;0;0;0;0;0;0
0,1;1;2,94;0,35;2,59;2,69109534824345e-06;193;108
0;0;0;0;0;0;0;0
0,1;1;2,96;0,35;2,61;2,66643631589685e-06;191;110
0;0;0;0;0;0;0;0
0,1;1;2,97;0,35;2,62;2,60361516580208e-06;189;112
0;0;0;0;0;0;0;0
0,1;1;2,96;0,34;2,62;2,57895784978257e-06;187;114
0;0;0;0;0;0;0;0
0,1;1;3,1;0,36;2,74;2,53679668998871e-06;185;116
0;0;0;0;0;0;0;0
0,1;1;3,24;0,37;2,87;2,49726930060646e-06;183;118
0;0;0;0;0;0;0;0
0,1;1;3,36;0,38;2,98;2,46243673707691e-06;181;120
0;0;0;0;0;0;0;0
0,1;1;3,42;0,49;2,93;2,41094451793778e-06;179;122
0;0;0;0;0;0;0;0
0,1;1;3,58;0,48;3,1;2,35093893831414e-06;177;124
0;0;0;0;0;0;0;0
0,1;1;3,56;0,48;3,08;2,2865049308965e-06;175;126
0;0;0;0;0;0;0;0
0,1;1;3,52;0,48;3,04;2,21236658339788e-06;173;128
0;0;0;0;0;0;0;0
0,1;1;3,47;0,48;2,99;2,1465666207876e-06;171;130
0;0;0;0;0;0;0;0
0,1;1;3,48;0,47;3,01;2,07776526282672e-06;169;132
0;0;0;0;0;0;0;0
0,1;1;3,54;0,48;3,06;2,01383533167519e-06;167;134
0;0;0;0;0;0;0;0
0,1;1;3,97;0,47;3,5;1,96394324888653e-06;165;136
0;0;0;0;0;0;0;0
0,1;1;4,11;0,48;3,63;1,92728812083236e-06;163;138
0;0;0;0;0;0;0;0
0,1;1;4,17;0,49;3,68;1,89138618852848e-06;161;140
0;0;0;0;0;0;0;0
0,1;1;4,26;0,52;3,74;1,85033273790879e-06;159;142
0;0;0;0;0;0;0;0
0,1;1;4,4;0,53;3,87;1,81862529331155e-06;157;144
0;0;0;0;0;0;0;0
0,1;1;4,6;0,62;3,98;1,79197225929428e-06;155;146
0;0;0;0;0;0;0;0
0,1;1;4,76;0,72;4,04;1,77598143333211e-06;153;148
0;0;0;0;0;0;0;0
0,1;1;5,01;1,21;3,8;1,80476197735721e-06;151;150
0;0;0;0;0;0;0;0
0,1;1;5,25;1,49;3,76;1,8115195954964e-06;149;152
0;0;0;0;0;0;0;0
0,1;1;5,48;1,6;3,88;1,8222013690447e-06;147;154
0;0;0;0;0;0;0;0
0,1;1;6,04;1,78;4,26;1,85394290358056e-06;145;156
0;0;0;0;0;0;0;0
0,1;1;6,51;1,93;4,58;1,84838097618652e-06;143;158
0;0;0;0;0;0;0;0
0,1;1;6,61;1,94;4,67;1,83284614341283e-06;141;160
0;0;0;0;0;0;0;0
0,1;1;6,65;1,97;4,68;1,81025955658724e-06;139;162
0;0;0;0;0;0;0;0
0,1;1;6,8;1,99;4,81;1,78582224193901e-06;137;164
0;0;0;0;0;0;0;0
0,1;1;7,27;2,04;5,23;1,76554688206581e-06;135;166
0;0;0;0;0;0;0;0
0,1;1;7,96;2,08;5,88;1,74364019597942e-06;133;168
0;0;0;0;0;0;0;0
0,1;1;8,82;2,07;6,75;1,71898236420234e-06;131;170
0;0;0;0;0;0;0;0
0,1;1;9,6;2,13;7,47;1,69567578120423e-06;129;172
0;0;0;0;0;0;0;0
0,1;1;10,39;2,16;8,23;1,66854695637506e-06;127;174
0;0;0;0;0;0;0;0
0,1;1;11,28;2,19;9,09;1,63848322103281e-06;125;176
0;0;0;0;0;0;0;0
0,1;1;12,17;2,17;10;1,60413417717053e-06;123;178
0;0;0;0;0;0;0;0
0,1;1;13,18;2,17;11,01;1,56696509160783e-06;121;180
0;0;0;0;0;0;0;0
0,1;1;14,99;2,16;12,83;1,53240076591024e-06;119;182
0;0;0;0;0;0;0;0
0,1;1;17,19;2,19;15;1,5007695092519e-06;117;184
0;0;0;0;0;0;0;0
0,1;1;20,7;2,21;18,49;1,47375052870436e-06;115;186
0;0;0;0;0;0;0;0
0,1;1;23,95;2,29;21,66;1,4471423806747e-06;113;188
0;0;0;0;0;0;0;0
0,1;1;26,93;2,36;24,57;1,4145700008889e-06;111;190
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0,2;1;0,5;0;0,5;7,85841863102377e-05;299;2
0;0;0;0;0;0;0;0
0,2;1;0,25;0;0,25;3,36386579489201e-05;297;4
0;0;0;0;0;0;0;0
0,2;1;0,17;0;0,17;3,35602568458067e-05;295;6
0;0;0;0;0;0;0;0
0,2;1;1;0;1;0,00046508383036588;293;8
0;0;0;0;0;0;0;0
0,2;1;0,9;0;0,9;0,000188620706385483;291;10
0;0;0;0;0;0;0;0
0,2;1;0,75;0;0,75;0,00010788042471089;289;12
0;0;0;0;0;0;0;0
0,2;1;0,64;0,07;0,57;7,62350705413426e-05;287;14
0;0;0;0;0;0;0;0
0,2;1;0,62;0,06;0,56;5,91007299092248e-05;285;16
0;0;0;0;0;0;0;0
0,2;1;0,56;0,06;0,5;4,605120269366e-05;283;18
0;0;0;0;0;0;0;0
0,2;1;0,6;0,1;0,5;3,70125496320802e-05;281;20
0;0;0;0;0;0;0;0
0,2;1;0,59;0,09;0,5;3,06482999901341e-05;279;22
0;0;0;0;0;0;0;0
0,2;1;0,54;0,08;0,46;2,51682041362261e-05;277;24
0;0;0;0;0;0;0;0
0,2;1;0,5;0,08;0,42;2,13613608423495e-05;275;26
0;0;0;0;0;0;0;0
0,2;1;0,46;0,07;0,39;1,83280252664494e-05;273;28
0;0;0;0;0;0;0;0
0,2;1;0,47;0,07;0,4;1,5778392710932e-05;271;30
0;0;0;0;0;0;0;0
0,2;1;0,47;0,06;0,41;1,38554105250608e-05;269;32
0;0;0;0;0;0;0;0
0,2;1;0,53;0,06;0,47;1,22321869224021e-05;267;34
0;0;0;0;0;0;0;0
0,2;1;0,56;0,06;0,5;1,10108342934611e-05;265;36
0;0;0;0;0;0;0;0
0,2;1;0,58;0,05;0,53;9,92708021165091e-06;263;38
0;0;0;0;0;0;0;0
0,2;1;0,55;0,05;0,5;9,11604920607342e-06;261;40
0;0;0;0;0;0;0;0
0,2;1;0,55;0,05;0,5;8,24872137648212e-06;259;42
0;0;0;0;0;0;0;0
0,2;1;0,52;0,05;0,47;7,58168106309934e-06;257;44
0;0;0;0;0;0;0;0
0,2;1;0,5;0,04;0,46;7,0805665849496e-06;255;46
0;0;0;0;0;0;0;0
0,2;1;0,5;0,12;0,38;6,79354624430443e-06;253;48
0;0;0;0;0;0;0;0
0,2;1;0,5;0,12;0,38;6,39602584576134e-06;251;50
0;0;0;0;0;0;0;0
0,2;1;0,5;0,12;0,38;6,05815608949301e-06;249;52
0;0;0;0;0;0;0;0
0,2;1;0,81;0,11;0,7;5,98734033936193e-06;247;54
0;0;0;0;0;0;0;0
0,2;1;0,8;0,11;0,69;5,83415460225533e-06;245;56
0;0;0;0;0;0;0;0
0,2;1;0,81;0,1;0,71;5,50569027850719e-06;243;58
0;0;0;0;0;0;0;0
0,2;1;0,83;0,1;0,73;5,27668354300583e-06;241;60
0;0;0;0;0;0;0;0
0,2;1;0,81;0,1;0,71;5,03221263556685e-06;239;62
0;0;0;0;0;0;0;0
0,2;1;0,78;0,09;0,69;4,90069662400066e-06;237;64
0;0;0;0;0;0;0;0
0,2;1;0,77;0,12;0,65;4,78829609896494e-06;235;66
0;0;0;0;0;0;0;0
0,2;1;0,78;0,15;0,63;4,60268146044172e-06;233;68
0;0;0;0;0;0;0;0
0,2;1;0,89;0,17;0,72;4,4273471436945e-06;231;70
0;0;0;0;0;0;0;0
0,2;1;0,89;0,17;0,72;4,23283136265309e-06;229;72
0;0;0;0;0;0;0;0
0,2;1;0,93;0,16;0,77;4,04094060955287e-06;227;74
0;0;0;0;0;0;0;0
0,2;1;0,91;0,16;0,75;3,83139599642989e-06;225;76
0;0;0;0;0;0;0;0
0,2;1;0,88;0,15;0,73;3,60730977549496e-06;223;78
0;0;0;0;0;0;0;0
0,2;1;0,88;0,15;0,73;3,42416057471539e-06;221;80
0;0;0;0;0;0;0;0
0,2;1;0,87;0,15;0,72;3,2373750143014e-06;219;82
0;0;0;0;0;0;0;0
0,2;1;0,98;0,14;0,84;3,09556066560678e-06;217;84
0;0;0;0;0;0;0;0
0,2;1;1,1;0,14;0,96;2,96421998811192e-06;215;86
0;0;0;0;0;0;0;0
0,2;1;1,15;0,14;1,01;2,85182855472494e-06;213;88
0;0;0;0;0;0;0;0
0,2;1;1,14;0,13;1,01;2,75827418687457e-06;211;90
0;0;0;0;0;0;0;0
0,2;1;1,15;0,13;1,02;2,6533739058179e-06;209;92
0;0;0;0;0;0;0;0
0,2;1;1,2;0,13;1,07;2,55463968258746e-06;207;94
0;0;0;0;0;0;0;0
0,2;1;1,22;0,12;1,1;2,49100054698092e-06;205;96
0;0;0;0;0;0;0;0
0,2;1;1,29;0,21;1,08;2,51824985018383e-06;203;98
0;0;0;0;0;0;0;0
0,2;1;1,4;0,25;1,15;2,52278936045055e-06;201;100
0;0;0;0;0;0;0;0
0,2;1;1,4;0,27;1,13;2,52158030498171e-06;199;102
0;0;0;0;0;0;0;0
0,2;1;2,1;0,31;1,79;2,62255347202676e-06;197;104
0;0;0;0;0;0;0;0
0,2;1;2,13;0,3;1,83;2,67016913131394e-06;195;106
0;0;0;0;0;0;0;0
0,2;1;2,39;0,3;2,09;2,65008938126492e-06;193;108
0;0;0;0;0;0;0;0
0,2;1;2,35;0,3;2,05;2,60927168746812e-06;191;110
0;0;0;0;0;0;0;0
0,2;1;2,35;0,29;2,06;2,56026334436777e-06;189;112
0;0;0;0;0;0;0;0
0,2;1;2,36;0,29;2,07;2,53056141907783e-06;187;114
0;0;0;0;0;0;0;0
0,2;1;2,41;0,35;2,06;2,49328108419575e-06;185;116
0;0;0;0;0;0;0;0
0,2;1;2,59;0,37;2,22;2,44190690762056e-06;183;118
0;0;0;0;0;0;0;0
0,2;1;2,79;0,38;2,41;2,39068656607304e-06;181;120
0;0;0;0;0;0;0;0
0,2;1;2,93;0,48;2,45;2,32772135592359e-06;179;122
0;0;0;0;0;0;0;0
0,2;1;3,09;0,48;2,61;2,25433989518488e-06;177;124
0;0;0;0;0;0;0;0
0,2;1;3,06;0,47;2,59;2,17908720829006e-06;175;126
0;0;0;0;0;0;0;0
0,2;1;3,02;0,46;2,56;2,10220871366819e-06;173;128
0;0;0;0;0;0;0;0
0,2;1;2,97;0,46;2,51;2,02932283373035e-06;171;130
0;0;0;0;0;0;0;0
0,2;1;2,95;0,45;2,5;1,96480495416695e-06;169;132
0;0;0;0;0;0;0;0
0,2;1;2,98;0,45;2,53;1,90292136438601e-06;167;134
0;0;0;0;0;0;0;0
0,2;1;3,41;0,45;2,96;1,87126861395884e-06;165;136
0;0;0;0;0;0;0;0
0,2;1;3,49;0,48;3,01;1,8444825253081e-06;163;138
0;0;0;0;0;0;0;0
0,2;1;3,51;0,55;2,96;1,81907885680102e-06;161;140
0;0;0;0;0;0;0;0
0,2;1;3,54;0,56;2,98;1,78831948739519e-06;159;142
0;0;0;0;0;0;0;0
0,2;1;3,6;0,58;3,02;1,7606447517044e-06;157;144
0;0;0;0;0;0;0;0
0,2;1;3,78;0,59;3,19;1,73940672380589e-06;155;146
0;0;0;0;0;0;0;0
0,2;1;3,93;0,67;3,26;1,72969284309312e-06;153;148
0;0;0;0;0;0;0;0
0,2;1;4;1,11;2,89;1,74967063950068e-06;151;150
0;0;0;0;0;0;0;0
0,2;1;4,03;1,31;2,72;1,74762892637811e-06;149;152
0;0;0;0;0;0;0;0
0,2;1;4,21;1,36;2,85;1,75293732565916e-06;147;154
0;0;0;0;0;0;0;0
0,2;1;4,69;1,4;3,29;1,78229056994022e-06;145;156
0;0;0;0;0;0;0;0
0,2;1;5,27;1,46;3,81;1,78165846841517e-06;143;158
0;0;0;0;0;0;0;0
0,2;1;5,51;1,45;4,06;1,76153664581535e-06;141;160
0;0;0;0;0;0;0;0
0,2;1;5,5;1,46;4,04;1,73315970543396e-06;139;162
0;0;0;0;0;0;0;0
0,2;1;5,51;1,47;4,04;1,71140767326521e-06;137;164
0;0;0;0;0;0;0;0
0,2;1;5,63;1,52;4,11;1,68783495165582e-06;135;166
0;0;0;0;0;0;0;0
0,2;1;6,16;1,57;4,59;1,66639949988101e-06;133;168
0;0;0;0;0;0;0;0
0,2;1;6,88;1,57;5,31;1,65015524818715e-06;131;170
0;0;0;0;0;0;0;0
0,2;1;7,49;1,63;5,86;1,62640755221499e-06;129;172
0;0;0;0;0;0;0;0
0,2;1;7,85;1,66;6,19;1,5930010529024e-06;127;174
0;0;0;0;0;0;0;0
0,2;1;8,3;1,65;6,65;1,55600317803893e-06;125;176
0;0;0;0;0;0;0;0
0,2;1;8,51;1,65;6,86;1,51493600730171e-06;123;178
0;0;0;0;0;0;0;0
0,2;1;8,7;1,64;7,06;1,47478873654034e-06;121;180
0;0;0;0;0;0;0;0
0,2;1;9,01;1,63;7,38;1,43724732211312e-06;119;182
0;0;0;0;0;0;0;0
0,2;1;9,49;1,62;7,87;1,40089746966452e-06;117;184
0;0;0;0;0;0;0;0
0,2;1;10,39;1,61;8,78;1,36998032814941e-06;115;186
0;0;0;0;0;0;0;0
0,2;1;11,65;1,63;10,02;1,34766854506126e-06;113;188
0;0;0;0;0;0;0;0
0,2;1;13,36;1,73;11,63;1,32716272168777e-06;111;190
0;0;0;0;0;0;0;0
0,2;1;15,74;1,87;13,87;1,30904824620088e-06;109;192
0;0;0;0;0;0;0;0
0,2;1;18,86;1,95;16,91;1,30066588961418e-06;107;194
0;0;0;0;0;0;0;0
0,2;1;22,4;2,05;20,35;1,29166044557475e-06;105;196
0;0;0;0;0;0;0;0
0,2;1;26,87;2,28;24,59;1,29173408741302e-06;103;198
0;0;0;0;0;0;0;0
0,3;1;0,5;0;0,5;7,65633077133288e-05;299;2
0;0;0;0;0;0;0;0
0,3;1;0,25;0;0,25;3,61364267385163e-05;297;4
0;0;0;0;0;0;0;0
0,3;1;0,17;0;0,17;3,44284437806356e-05;295;6
0;0;0;0;0;0;0;0
0,3;1;1;0;1;0,000462966067319415;293;8
0;0;0;0;0;0;0;0
0,3;1;0,9;0;0,9;0,000191235301160412;291;10
0;0;0;0;0;0;0;0
0,3;1;0,75;0;0,75;0,000110474550500928;289;12
0;0;0;0;0;0;0;0
0,3;1;0,64;0,07;0,57;7,34221288628406e-05;287;14
0;0;0;0;0;0;0;0
0,3;1;0,56;0,06;0,5;5,51625165106704e-05;285;16
0;0;0;0;0;0;0;0
0,3;1;0,56;0,06;0,5;4,31240038968606e-05;283;18
0;0;0;0;0;0;0;0
0,3;1;0,55;0,05;0,5;3,47034771629048e-05;281;20
0;0;0;0;0;0;0;0
0,3;1;0,55;0,05;0,5;2,84948244403984e-05;279;22
0;0;0;0;0;0;0;0
0,3;1;0,5;0,04;0,46;2,42766337989542e-05;277;24
0;0;0;0;0;0;0;0
0,3;1;0,46;0,04;0,42;2,03085273042547e-05;275;26
0;0;0;0;0;0;0;0
0,3;1;0,46;0,04;0,42;1,75761961100872e-05;273;28
0;0;0;0;0;0;0;0
0,3;1;0,43;0,03;0,4;1,54835644594668e-05;271;30
0;0;0;0;0;0;0;0
0,3;1;0,44;0,03;0,41;1,36571804328124e-05;269;32
0;0;0;0;0;0;0;0
0,3;1;0,5;0,03;0,47;1,23503996597243e-05;267;34
0;0;0;0;0;0;0;0
0,3;1;0,5;0,03;0,47;1,1329616559484e-05;265;36
0;0;0;0;0;0;0;0
0,3;1;0,58;0,03;0,55;1,03178048323818e-05;263;38
0;0;0;0;0;0;0;0
0,3;1;0,55;0,03;0,52;9,38628414223663e-06;261;40
0;0;0;0;0;0;0;0
0,3;1;0,52;0,02;0,5;8,52810022882756e-06;259;42
0;0;0;0;0;0;0;0
0,3;1;0,5;0,02;0,48;7,9943125721553e-06;257;44
0;0;0;0;0;0;0;0
0,3;1;0,5;0,02;0,48;7,29946571100853e-06;255;46
0;0;0;0;0;0;0;0
0,3;1;0,5;0,1;0,4;6,94663245581921e-06;253;48
0;0;0;0;0;0;0;0
0,3;1;0,52;0,1;0,42;6,48916057698567e-06;251;50
0;0;0;0;0;0;0;0
0,3;1;0,56;0,12;0,44;6,13844341793885e-06;249;52
0;0;0;0;0;0;0;0
