"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation";"speciestotal"
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0,000677534250546674;499;2;1
0;0;0;0;0;0;0;0;0
0;1;0,25;0;0,25;4,2813831662436e-05;497;4;1
0;0;0;0;0;0;0;0;0
0;1;0,17;0,17;0;NA;495;6;1
0;0;0;0;0;0;0;0;0
0,25;1;0,5;0;0,5;4,09357746716799e-05;499;2;1
0;0;0;0;0;0;0;0;0
0,25;1;0,25;0;0,25;0,000322665808492717;497;4;1
0;0;0;0;0;0;0;0;0
0,25;1;0,17;0;0,17;0,00108422424797855;495;6;1
0;0;0;0;0;0;0;0;0
0,25;1;0,62;0;0,62;0,000448995928124654;493;8;5
0;0;0;0;0;0;0;0;0
0,25;1;0,7;0,1;0,6;0,000318973229421904;491;10;7
0;0;0;0;0;0;0;0;0
0,25;1;0,83;0,08;0,75;0,000415651226760984;489;12;10
0;0;0;0;0;0;0;0;0
0,25;1;0,79;0,14;0,65;0,000343994285181747;487;14;11
0;0;0;0;0;0;0;0;0
0,25;1;0,75;0,19;0,56;0,000163006301661692;485;16;12
0;0;0;0;0;0;0;0;0
0,25;1;0,67;0,17;0,5;0,000208304177106914;483;18;12
0;0;0;0;0;0;0;0;0
0,25;1;0,7;0,15;0,55;0,000270274383379993;481;20;14
0;0;0;0;0;0;0;0;0
0,25;1;0,68;0,14;0,54;0,000220592084855834;479;22;15
0;0;0;0;0;0;0;0;0
0,25;1;0,62;0,17;0,45;0,000186247800229285;477;24;15
0;0;0;0;0;0;0;0;0
0,25;1;0,58;0,15;0,43;0,000123293888499869;475;26;15
0;0;0;0;0;0;0;0;0
0,25;1;0,57;0,14;0,43;0,000127405859047378;473;28;16
0;0;0;0;0;0;0;0;0
0,25;1;0,7;0,13;0,57;0,000235526756687299;471;30;21
0;0;0;0;0;0;0;0;0
0,25;1;0,75;0,12;0,63;0,000281502869411485;469;32;24
0;0;0;0;0;0;0;0;0
0,25;1;0,71;0,21;0,5;0,000188191554275509;467;34;24
0;0;0;0;0;0;0;0;0
0,25;1;0,83;0,22;0,61;0,000170997634609292;465;36;30
0;0;0;0;0;0;0;0;0
0,25;1;0,92;0,21;0,71;0,00026677362981591;463;38;35
0;0;0;0;0;0;0;0;0
0,25;1;0,9;0,32;0,58;0,000213224576128975;461;40;36
0;0;0;0;0;0;0;0;0
0,25;1;0,95;0,33;0,62;0,000285775120154597;459;42;40
0;0;0;0;0;0;0;0;0
0,25;1;0,98;0,48;0,5;0,000229315673979786;457;44;43
0;0;0;0;0;0;0;0;0
0,25;1;0,96;0,48;0,48;0,000154446578686379;455;46;44
0;0;0;0;0;0;0;0;0
0,25;1;0,98;0,48;0,5;0,000149964568739838;453;48;47
0;0;0;0;0;0;0;0;0
0,25;1;1,02;0,5;0,52;0,000173676022122986;451;50;51
0;0;0;0;0;0;0;0;0
0,25;1;1,13;0,48;0,65;0,000188196985428808;449;52;59
0;0;0;0;0;0;0;0;0
0,25;1;1,28;0,46;0,82;0,000173709605227209;447;54;69
0;0;0;0;0;0;0;0;0
0,25;1;1,41;0,5;0,91;0,000197572434634949;445;56;79
0;0;0;0;0;0;0;0;0
0,25;1;1,48;0,59;0,89;0,000213993008752756;443;58;86
0;0;0;0;0;0;0;0;0
0,25;1;1,55;0,57;0,98;0,000188817740810623;441;60;93
0;0;0;0;0;0;0;0;0
0,25;1;1,65;0,63;1,02;0,000226570011889066;439;62;102
0;0;0;0;0;0;0;0;0
0,25;1;1,69;0,72;0,97;0,000203843510534026;437;64;108
0;0;0;0;0;0;0;0;0
0,25;1;1,74;0,71;1,03;0,000177988720423972;435;66;115
0;0;0;0;0;0;0;0;0
0,25;1;1,78;0,69;1,09;0,000179806601052859;433;68;121
0;0;0;0;0;0;0;0;0
0,25;1;1,99;0,69;1,3;0,000186218737208578;431;70;139
0;0;0;0;0;0;0;0;0
0,25;1;2,12;0,71;1,41;0,000220197647644577;429;72;153
0;0;0;0;0;0;0;0;0
0,25;1;2,28;0,74;1,54;0,000192421473926505;427;74;169
0;0;0;0;0;0;0;0;0
0,25;1;2,46;0,82;1,64;0,00018942916352509;425;76;187
0;0;0;0;0;0;0;0;0
0,25;1;2,65;0,87;1,78;0,000229978153071709;423;78;207
0;0;0;0;0;0;0;0;0
0,25;1;2,89;0,86;2,03;0,000208208632017093;421;80;231
0;0;0;0;0;0;0;0;0
0,25;1;3,27;0,94;2,33;0,000181639242055174;419;82;268
0;0;0;0;0;0;0;0;0
0,25;1;3,54;1,04;2,5;0,000191137530841359;417;84;297
0;0;0;0;0;0;0;0;0
0,25;1;3,94;1,12;2,82;0,000207594343442252;415;86;339
0;0;0;0;0;0;0;0;0
0,25;1;4,42;1,18;3,24;0,000187524349626067;413;88;389
0;0;0;0;0;0;0;0;0
0,25;1;5,01;1,26;3,75;0,000194545106525292;411;90;451
0;0;0;0;0;0;0;0;0
0,25;1;5,66;1,32;4,34;0,000197736601352054;409;92;521
0;0;0;0;0;0;0;0;0
0,25;1;6,21;1,51;4,7;0,00022271901260119;407;94;584
0;0;0;0;0;0;0;0;0
0,25;1;6,89;1,61;5,28;0,000192816317737454;405;96;661
0;0;0;0;0;0;0;0;0
0,25;1;7,81;1,73;6,08;0,000210175945876739;403;98;765
0;0;0;0;0;0;0;0;0
0,25;1;8,44;1,81;6,63;0,000187942072142227;401;100;844
0;0;0;0;0;0;0;0;0
0,25;1;9,04;1,91;7,13;0,000188990505467593;399;102;922
0;0;0;0;0;0;0;0;0
0,25;1;9,95;2,04;7,91;0,000189313589147622;397;104;1035
0;0;0;0;0;0;0;0;0
0,25;1;11,37;2,14;9,23;0,000195755278948871;395;106;1205
0;0;0;0;0;0;0;0;0
0,25;1;13,46;2,28;11,18;0,000205317608443482;393;108;1454
0;0;0;0;0;0;0;0;0
0,25;1;15,42;2,61;12,81;0,00018807257152185;391;110;1696
0;0;0;0;0;0;0;0;0
0,25;1;17,15;3;14,15;0,000198766197943819;389;112;1921
0;0;0;0;0;0;0;0;0
0,25;1;18,87;3,21;15,66;0,000187835010220841;387;114;2151
0;0;0;0;0;0;0;0;0
0,25;1;20,15;3,36;16,79;0,000184687411295022;385;116;2337
0;0;0;0;0;0;0;0;0
0,25;1;21,39;3,64;17,75;0,000173954537051632;383;118;2524
0;0;0;0;0;0;0;0;0
0,25;1;23,55;4,19;19,36;0,000183597091936351;381;120;2826
0;0;0;0;0;0;0;0;0
0,25;1;26,31;4,62;21,69;0,000191774419462191;379;122;3210
0;0;0;0;0;0;0;0;0
0,25;1;29,27;5,35;23,92;0,000202114748825552;377;124;3629
0;0;0;0;0;0;0;0;0
0,25;1;34,11;6,03;28,08;0,000207738572491178;375;126;4298
0;0;0;0;0;0;0;0;0
0,25;1;38,24;6,79;31,45;0,000187224111684203;373;128;4895
0;0;0;0;0;0;0;0;0
0,25;1;44,05;8,21;35,84;0,000222167911421633;371;130;5726
0;0;0;0;0;0;0;0;0
0,25;1;51,16;10,82;40,34;0,000259803644980969;369;132;6753
0;0;0;0;0;0;0;0;0
0,25;1;58,56;13,03;45,53;0,000232622810378569;367;134;7847
0;0;0;0;0;0;0;0;0
0,25;1;66,4;15,93;50,47;0,000245905080573993;365;136;9031
0;0;0;0;0;0;0;0;0
0,25;1;73,25;18,33;54,92;0,00022347923335069;363;138;10109
0;0;0;0;0;0;0;0;0
0,25;1;80,09;20,04;60,05;0,000214103038253369;361;140;11213
0;0;0;0;0;0;0;0;0
0,25;1;86,68;21,72;64,96;0,000193418641917865;359;142;12309
0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0
0,5;1;0,5;0;0,5;0,000110825880317411;499;2;1
0;0;0;0;0;0;0;0;0
0,5;1;0,25;0;0,25;0,000466699065627463;497;4;1
0;0;0;0;0;0;0;0;0
0,5;1;0,17;0;0,17;0,000686095818731747;495;6;1
0;0;0;0;0;0;0;0;0
0,5;1;0,88;0;0,88;0,000207589232074645;493;8;7
0;0;0;0;0;0;0;0;0
0,5;1;0,7;0,1;0,6;0,000175101136516466;491;10;7
0;0;0;0;0;0;0;0;0
0,5;1;0,58;0,08;0,5;0,00028275970461437;489;12;7
0;0;0;0;0;0;0;0;0
0,5;1;0,64;0,07;0,57;0,000321408455345833;487;14;9
0;0;0;0;0;0;0;0;0
0,5;1;0,62;0,19;0,43;0,000125924831910605;485;16;10
0;0;0;0;0;0;0;0;0
0,5;1;0,56;0,17;0,39;0,000140688863156269;483;18;10
0;0;0;0;0;0;0;0;0
0,5;1;0,5;0,15;0,35;0,000175807070494376;481;20;10
0;0;0;0;0;0;0;0;0
0,5;1;0,45;0,14;0,31;8,52957172352643e-05;479;22;10
0;0;0;0;0;0;0;0;0
0,5;1;0,42;0,12;0,3;0,000159577163871319;477;24;10
0;0;0;0;0;0;0;0;0
0,5;1;0,38;0,12;0,26;0,000160953227043681;475;26;10
0;0;0;0;0;0;0;0;0
0,5;1;0,39;0,11;0,28;9,32758245541113e-05;473;28;11
0;0;0;0;0;0;0;0;0
0,5;1;0,37;0,1;0,27;0,00019056927728861;471;30;11
0;0;0;0;0;0;0;0;0
0,5;1;0,38;0,09;0,29;9,75029496045702e-05;469;32;12
0;0;0;0;0;0;0;0;0
0,5;1;0,35;0,12;0,23;8,78557385526127e-05;467;34;12
0;0;0;0;0;0;0;0;0
0,5;1;0,33;0,11;0,22;9,18918682539793e-05;465;36;12
0;0;0;0;0;0;0;0;0
0,5;1;0,34;0,11;0,23;6,13443888554041e-05;463;38;13
0;0;0;0;0;0;0;0;0
0,5;1;0,32;0,1;0,22;0,000111279509933886;461;40;13
0;0;0;0;0;0;0;0;0
0,5;1;0,31;0,1;0,21;7,95028911542397e-05;459;42;13
0;0;0;0;0;0;0;0;0
0,5;1;0,32;0,14;0,18;0,000159653503028559;457;44;14
0;0;0;0;0;0;0;0;0
0,5;1;0,3;0,13;0,17;0,000150033727452016;455;46;14
0;0;0;0;0;0;0;0;0
0,5;1;0,33;0,12;0,21;0,000271940325285257;453;48;16
0;0;0;0;0;0;0;0;0
0,5;1;0,34;0,12;0,22;0,000217035332200759;451;50;17
0;0;0;0;0;0;0;0;0
0,5;1;0,33;0,12;0,21;0,000129793042953216;449;52;17
0;0;0;0;0;0;0;0;0
0,5;1;0,33;0,13;0,2;9,81888474293177e-05;447;54;18
0;0;0;0;0;0;0;0;0
0,5;1;0,32;0,12;0,2;0,000116233589680336;445;56;18
0;0;0;0;0;0;0;0;0
0,5;1;0,31;0,12;0,19;0,000118106979814554;443;58;18
0;0;0;0;0;0;0;0;0
0,5;1;0,32;0,12;0,2;0,000180181424927104;441;60;19
0;0;0;0;0;0;0;0;0
0,5;1;0,34;0,11;0,23;0,000208492946916383;439;62;21
0;0;0;0;0;0;0;0;0
0,5;1;0,34;0,11;0,23;0,000219414782774747;437;64;22
0;0;0;0;0;0;0;0;0
0,5;1;0,33;0,15;0,18;0,00013741511478769;435;66;22
0;0;0;0;0;0;0;0;0
0,5;1;0,37;0,15;0,22;8,56982981254029e-05;433;68;25
0;0;0;0;0;0;0;0;0
0,5;1;0,39;0,14;0,25;8,55939200684434e-05;431;70;27
0;0;0;0;0;0;0;0;0
0,5;1;0,38;0,17;0,21;8,75141953747531e-05;429;72;27
0;0;0;0;0;0;0;0;0
0,5;1;0,36;0,16;0,2;0,000108250629369988;427;74;27
0;0;0;0;0;0;0;0;0
0,5;1;0,36;0,16;0,2;7,12651780157854e-05;425;76;27
0;0;0;0;0;0;0;0;0
0,5;1;0,36;0,15;0,21;8,97982881064426e-05;423;78;28
0;0;0;0;0;0;0;0;0
0,5;1;0,35;0,15;0,2;9,67853435254566e-05;421;80;28
0;0;0;0;0;0;0;0;0
0,5;1;0,34;0,15;0,19;0,000148946265910711;419;82;28
0;0;0;0;0;0;0;0;0
0,5;1;0,35;0,14;0,21;0,000183903661084919;417;84;29
0;0;0;0;0;0;0;0;0
0,5;1;0,35;0,14;0,21;0,000124982308170093;415;86;30
0;0;0;0;0;0;0;0;0
0,5;1;0,34;0,15;0,19;0,000115455613960307;413;88;30
0;0;0;0;0;0;0;0;0
0,5;1;0,33;0,14;0,19;7,54951029728171e-05;411;90;30
0;0;0;0;0;0;0;0;0
0,5;1;0,34;0,15;0,19;5,99202580475352e-05;409;92;31
0;0;0;0;0;0;0;0;0
0,5;1;0,33;0,15;0,18;0,00012496210198829;407;94;31
0;0;0;0;0;0;0;0;0
0,5;1;0,4;0,15;0,25;0,000216132317508225;405;96;38
0;0;0;0;0;0;0;0;0
0,5;1;0,42;0,14;0,28;0,000174453539128756;403;98;41
0;0;0;0;0;0;0;0;0
0,5;1;0,56;0,15;0,41;0,000298969363141323;401;100;56
0;0;0;0;0;0;0;0;0
0,5;1;0,56;0,15;0,41;0,000176581223542307;399;102;57
0;0;0;0;0;0;0;0;0
0,5;1;0,59;0,14;0,45;0,000136850956119548;397;104;61
0;0;0;0;0;0;0;0;0
0,5;1;0,58;0,14;0,44;0,000121026235435732;395;106;62
0;0;0;0;0;0;0;0;0
0,5;1;0,58;0,15;0,43;0,000150545594815325;393;108;63
0;0;0;0;0;0;0;0;0
0,5;1;0,57;0,15;0,42;0,000132733337281077;391;110;63
0;0;0;0;0;0;0;0;0
0,5;1;0,57;0,19;0,38;0,000136704957762933;389;112;64
0;0;0;0;0;0;0;0;0
0,5;1;0,68;0,19;0,49;0,000224002601162543;387;114;77
0;0;0;0;0;0;0;0;0
0,5;1;0,73;0,19;0,54;0,000188338061939246;385;116;85
0;0;0;0;0;0;0;0;0
0,5;1;0,8;0,31;0,49;0,000135968543535364;383;118;94
0;0;0;0;0;0;0;0;0
0,5;1;0,78;0,31;0,47;0,000102745842715191;381;120;94
0;0;0;0;0;0;0;0;0
0,5;1;0,77;0,3;0,47;0,000104992560074057;379;122;94
0;0;0;0;0;0;0;0;0
0,5;1;0,76;0,3;0,46;7,63086651122378e-05;377;124;94
0;0;0;0;0;0;0;0;0
0,5;1;0,75;0,29;0,46;9,11107654541499e-05;375;126;94
0;0;0;0;0;0;0;0;0
0,5;1;0,74;0,29;0,45;8,28341082185922e-05;373;128;95
0;0;0;0;0;0;0;0;0
0,5;1;0,75;0,28;0,47;8,43242754955157e-05;371;130;98
0;0;0;0;0;0;0;0;0
0,5;1;0,74;0,28;0,46;0,000105977955813004;369;132;98
0;0;0;0;0;0;0;0;0
0,5;1;0,75;0,28;0,47;0,000101268107055993;367;134;101
0;0;0;0;0;0;0;0;0
0,5;1;0,79;0,27;0,52;0,000102176761399778;365;136;107
0;0;0;0;0;0;0;0;0
0,5;1;0,79;0,29;0,5;8,11570524460003e-05;363;138;109
0;0;0;0;0;0;0;0;0
0,5;1;0,79;0,29;0,5;9,31146023764984e-05;361;140;111
0;0;0;0;0;0;0;0;0
0,5;1;0,81;0,29;0,52;8,80692761011505e-05;359;142;115
0;0;0;0;0;0;0;0;0
0,5;1;0,85;0,28;0,57;0,000109915809382886;357;144;123
0;0;0;0;0;0;0;0;0
0,5;1;0,94;0,28;0,66;0,000165534372038824;355;146;137
0;0;0;0;0;0;0;0;0
0,5;1;0,98;0,28;0,7;0,000146168797680233;353;148;145
0;0;0;0;0;0;0;0;0
0,5;1;0,99;0,28;0,71;0,000121680758661793;351;150;148
0;0;0;0;0;0;0;0;0
0,5;1;1,26;0,3;0,96;0,000160781156582321;349;152;191
0;0;0;0;0;0;0;0;0
0,5;1;1,33;0,29;1,04;0,000153727078228457;347;154;205
0;0;0;0;0;0;0;0;0
0,5;1;1,38;0,29;1,09;0,000120887627478611;345;156;215
0;0;0;0;0;0;0;0;0
0,5;1;1,42;0,28;1,14;0,000138189375337275;343;158;224
0;0;0;0;0;0;0;0;0
0,5;1;1,42;0,29;1,13;0,000135965372114968;341;160;227
0;0;0;0;0;0;0;0;0
0,5;1;1,42;0,29;1,13;0,00016519057408446;339;162;230
0;0;0;0;0;0;0;0;0
0,5;1;1,46;0,34;1,12;0,00022229778843182;337;164;239
0;0;0;0;0;0;0;0;0
0,5;1;1,51;0,33;1,18;0,000174714286626462;335;166;251
0;0;0;0;0;0;0;0;0
0,5;1;1,69;0,47;1,22;0,000196313369459325;333;168;284
0;0;0;0;0;0;0;0;0
0,5;1;1,94;0,47;1,47;0,000122662493297737;331;170;329
0;0;0;0;0;0;0;0;0
0,5;1;1,93;0,47;1,46;0,000103983176687612;329;172;332
0;0;0;0;0;0;0;0;0
0,5;1;1,91;0,46;1,45;0,000115583967275804;327;174;333
0;0;0;0;0;0;0;0;0
0,5;1;1,89;0,45;1,44;8,32587375197962e-05;325;176;333
0;0;0;0;0;0;0;0;0
0,5;1;1,88;0,45;1,43;7,80880010276104e-05;323;178;334
0;0;0;0;0;0;0;0;0
0,5;1;1,89;0,45;1,44;8,8956196556044e-05;321;180;340
0;0;0;0;0;0;0;0;0
0,5;1;1,88;0,45;1,43;8,64082941739004e-05;319;182;343
0;0;0;0;0;0;0;0;0
0,5;1;1,88;0,46;1,42;7,73441650085131e-05;317;184;346
0;0;0;0;0;0;0;0;0
0,5;1;1,9;0,46;1,44;8,01838401270065e-05;315;186;353
0;0;0;0;0;0;0;0;0
0,5;1;1,9;0,47;1,43;7,29489892359204e-05;313;188;357
0;0;0;0;0;0;0;0;0
0,5;1;1,89;0,47;1,42;6,51751086564141e-05;311;190;360
0;0;0;0;0;0;0;0;0
