"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation";"speciestotal"
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0,00310160041473434;199;2;1
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0,00133119097615381;197;4;1
0;0;0;0;0;0;0;0;0
0;1;0;0;0;1,00203487348738e-05;195;6;1
0;0;0;0;0;0;0;0;0
0;1;1;0;1;0,00048933674040294;193;8;4
0;0;0;0;0;0;0;0;0
0;1;0;0;0;2,51947961202453e-05;191;10;4
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0,000361383992186178;189;12;4
0;0;0;0;0;0;0;0;0
0;1;0,333333333333333;0;0,333333333333333;0,00418759567568999;187;14;5
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;185;16;5
0;0;0;0;0;0;0;0;0
0;1;0,333333333333333;0,333333333333333;0;0;183;18;6
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;181;20;6
0;0;0;0;0;0;0;0;0
0;1;0;0,333333333333333;-0,333333333333333;0;179;22;6
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;177;24;6
0;0;0;0;0;0;0;0;0
0;1;0;0,5;-0,5;0;175;26;6
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;173;28;6
0;0;0;0;0;0;0;0;0
0;1;0;0,5;-0,5;0;171;30;7
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;169;32;7
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;167;34;7
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;165;36;7
0;0;0;0;0;0;0;0;0
0;1;1;0;1;0;163;38;8
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;161;40;8
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;159;42;8
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;157;44;8
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;155;46;8
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;153;48;9
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;151;50;9
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;149;52;9
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;147;54;9
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;145;56;9
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;143;58;9
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;141;60;9
0;0;0;0;0;0;0;0;0
0;1;1;0;1;0;139;62;11
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;137;64;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;135;66;12
0;0;0;0;0;0;0;0;0
0;1;0;0,2;-0,2;0;133;68;12
0;0;0;0;0;0;0;0;0
0;1;0;0,25;-0,25;0;131;70;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;129;72;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;127;74;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;125;76;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;123;78;12
0;0;0;0;0;0;0;0;0
0;1;1;0;1;0;121;80;15
0;0;0;0;0;0;0;0;0
0;1;0,125;0;0,125;0;119;82;18
0;0;0;0;0;0;0;0;0
0;1;0,111111111111111;0;0,111111111111111;0;117;84;20
0;0;0;0;0;0;0;0;0
0;1;0,2;0;0,2;0;115;86;22
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;113;88;23
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;111;90;23
0;0;0;0;0;0;0;0;0
0;1;0,166666666666667;0;0,166666666666667;0;109;92;25
0;0;0;0;0;0;0;0;0
0;1;0,307692307692308;0;0,307692307692308;0;107;94;29
0;0;0;0;0;0;0;0;0
0;1;0,111111111111111;0,0555555555555556;0,0555555555555556;0;105;96;32
0;0;0;0;0;0;0;0;0
0;1;0,157894736842105;0;0,157894736842105;0;103;98;36
0;0;0;0;0;0;0;0;0
0;1;0;0,0769230769230769;-0,0769230769230769;0;101;100;40
0;0;0;0;0;0;0;0;0
0;1;0,217391304347826;0,0869565217391304;0,130434782608696;0;99;102;46
0;0;0;0;0;0;0;0;0
0;1;0,037037037037037;0;0,037037037037037;0;97;104;48
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;95;106;48
0;0;0;0;0;0;0;0;0
0;1;0,03125;0,03125;0;0;93;108;53
0;0;0;0;0;0;0;0;0
0;1;0,142857142857143;0,0476190476190476;0,0952380952380952;0;91;110;69
0;0;0;0;0;0;0;0;0
0;1;0,102040816326531;0;0,102040816326531;0;89;112;78
0;0;0;0;0;0;0;0;0
0;1;0,0961538461538462;0,0192307692307692;0,0769230769230769;0;87;114;83
0;0;0;0;0;0;0;0;0
0;1;0,0425531914893617;0,0425531914893617;0;0;85;116;85
0;0;0;0;0;0;0;0;0
0;1;0;0,0833333333333333;-0,0833333333333333;0;83;118;87
0;0;0;0;0;0;0;0;0
0;1;0;0,027027027027027;-0,027027027027027;0;81;120;87
0;0;0;0;0;0;0;0;0
0;1;0,0333333333333333;0,0666666666666667;-0,0333333333333333;0;79;122;89
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;77;124;90
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;75;126;90
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;73;128;91
0;0;0;0;0;0;0;0;0
0;1;0,0689655172413793;0;0,0689655172413793;0;71;130;95
0;0;0;0;0;0;0;0;0
0;1;0,0909090909090909;0,0606060606060606;0,0303030303030303;0;69;132;100
0;0;0;0;0;0;0;0;0
0;1;0,0512820512820513;0,0512820512820513;0;0;67;134;107
0;0;0;0;0;0;0;0;0
0;1;0,0256410256410256;0;0,0256410256410256;0;65;136;109
0;0;0;0;0;0;0;0;0
0;1;0,0681818181818182;0;0,0681818181818182;0;63;138;116
0;0;0;0;0;0;0;0;0
0;1;0,0377358490566038;0,0377358490566038;0;0;61;140;124
0;0;0;0;0;0;0;0;0
0;1;0,087719298245614;0;0,087719298245614;0;59;142;133
0;0;0;0;0;0;0;0;0
0;1;0,123076923076923;0;0,123076923076923;0;57;144;146
0;0;0;0;0;0;0;0;0
0;1;0,176470588235294;0,0352941176470588;0,141176470588235;0;55;146;173
0;0;0;0;0;0;0;0;0
0;1;0,0555555555555556;0;0,0555555555555556;0;53;148;190
0;0;0;0;0;0;0;0;0
0;1;0,0833333333333333;0,0166666666666667;0,0666666666666667;0;51;150;206
0;0;0;0;0;0;0;0;0
0;1;0,0671641791044776;0,0149253731343284;0,0522388059701493;0;49;152;223
0;0;0;0;0;0;0;0;0
0;1;0,0596026490066225;0,00662251655629139;0,0529801324503311;0;47;154;242
0;0;0;0;0;0;0;0;0
0;1;0,0909090909090909;0,0101010101010101;0,0808080808080808;0;45;156;300
0;0;0;0;0;0;0;0;0
0;1;0,183760683760684;0,0128205128205128;0,170940170940171;0;43;158;373
0;0;0;0;0;0;0;0;0
0;1;0,0866666666666667;0,00333333333333333;0,0833333333333333;0;41;160;428
0;0;0;0;0;0;0;0;0
0;1;0,00595238095238095;0,101190476190476;-0,0952380952380952;0;39;162;442
0;0;0;0;0;0;0;0;0
0;1;0,0233333333333333;0,0166666666666667;0,00666666666666667;0;37;164;450
0;0;0;0;0;0;0;0;0
0;1;0,0385852090032154;0;0,0385852090032154;0;35;166;473
0;0;0;0;0;0;0;0;0
0;1;0,171428571428571;0,0337662337662338;0,137662337662338;0;33;168;601
0;0;0;0;0;0;0;0;0
0;1;0,0339366515837104;0,17420814479638;-0,14027149321267;0;31;170;653
0;0;0;0;0;0;0;0;0
0;1;0,0167130919220056;0,247910863509749;-0,231197771587744;0;29;172;674
0;0;0;0;0;0;0;0;0
0;1;0,0198412698412698;0,19047619047619;-0,170634920634921;0;27;174;683
0;0;0;0;0;0;0;0;0
0;1;0,00995024875621891;0,00497512437810945;0,00497512437810945;0;25;176;685
0;0;0;0;0;0;0;0;0
0;1;0;0,00492610837438424;-0,00492610837438424;0;23;178;686
0;0;0;0;0;0;0;0;0
0;1;0,0142857142857143;0;0,0142857142857143;0;21;180;698
0;0;0;0;0;0;0;0;0
0;1;0,11063829787234;0,00851063829787234;0,102127659574468;0;19;182;748
0;0;0;0;0;0;0;0;0
0;1;0,0711974110032362;0,00970873786407767;0,0614886731391586;0;17;184;826
0;0;0;0;0;0;0;0;0
0;1;0,0670241286863271;0,0589812332439678;0,00804289544235925;0;15;186;901
0;0;0;0;0;0;0;0;0
0;1;0,0652173913043478;0,0120772946859903;0,0531400966183575;0;13;188;972
0;0;0;0;0;0;0;0;0
0;1;0,0466666666666667;0,0377777777777778;0,00888888888888889;0;11;190;1020
0;0;0;0;0;0;0;0;0
0;1;0,0887096774193548;0,00604838709677419;0,0826612903225807;0;9;192;1110
0;0;0;0;0;0;0;0;0
0;1;0,121464226289517;0,00166389351081531;0,119800332778702;0;7;194;1250
0;0;0;0;0;0;0;0;0
0;1;0,155759162303665;0;0,155759162303665;0;5;196;1463
0;0;0;0;0;0;0;0;0
0;1;0,100089365504915;0,0169794459338695;0,0831099195710456;0;3;198;1818
0;0;0;0;0;0;0;0;0
0;1;0,0961098398169336;0,01906941266209;0,0770404271548436;0;1;200;2056
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00197949841004824;199;2;1
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,0022455000776751;197;4;1
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000564472277854666;195;6;1
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000437336916442571;193;8;4
0;0;0;0;0;0;0;0;0
0,25;1;0,25;0,25;0;0,000332335104310355;191;10;5
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00034095000127031;189;12;5
0;0;0;0;0;0;0;0;0
0,25;1;0,25;0;0,25;0,000633027494034641;187;14;6
0;0;0;0;0;0;0;0;0
0,25;1;0,2;0;0,2;0,00162740653762515;185;16;7
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000929846519624948;183;18;7
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00107165340517524;181;20;7
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,0012285476459015;179;22;7
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000590720427200613;177;24;8
0;0;0;0;0;0;0;0;0
0,25;1;0,142857142857143;0;0,142857142857143;0,000330723727574676;175;26;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;1,96912194606949e-05;173;28;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;5,59148203699011e-05;171;30;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;9,71677671952886e-06;169;32;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;3,61088175832511e-05;167;34;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;2,8541538990498e-06;165;36;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;8,61837282414846e-07;163;38;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;9,10301098479283e-06;161;40;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;1,22013003737778e-05;159;42;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;3,65142514358735e-06;157;44;9
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;1,18952937346484e-05;155;46;11
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;7,02652592144415e-06;153;48;11
0;0;0;0;0;0;0;0;0
0,25;1;0;0,111111111111111;-0,111111111111111;7,83008252454309e-06;151;50;11
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;2,37595363728055e-05;149;52;11
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;3,39561935095711e-05;147;54;11
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;6,49401174005609e-06;145;56;11
0;0;0;0;0;0;0;0;0
0,25;1;0,333333333333333;0;0,333333333333333;0;143;58;15
0;0;0;0;0;0;0;0;0
0,25;1;0,0714285714285714;0,0714285714285714;0;0;141;60;18
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0;139;62;18
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0;137;64;18
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0;135;66;19
0;0;0;0;0;0;0;0;0
0,25;1;0,2;0;0,2;0;133;68;22
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0;131;70;25
0;0;0;0;0;0;0;0;0
0,25;1;0,08;0;0,08;0;129;72;31
0;0;0;0;0;0;0;0;0
0,25;1;0,032258064516129;0;0,032258064516129;0;127;74;36
0;0;0;0;0;0;0;0;0
0,25;1;0,03125;0;0,03125;0;125;76;37
0;0;0;0;0;0;0;0;0
0,25;1;0;0;0;0;123;78;37
0;0;0;0;0;0;0;0;0
0,25;1;0,0303030303030303;0;0,0303030303030303;0;121;80;38
0;0;0;0;0;0;0;0;0
