"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000918176238567751;499;2
0;0;0;0;0;0;0;0
0;5;0;0;0;0,00407118391756671;497;4
0;0;0;0;0;0;0;0
0;5;0;0;0;0,00692848330867502;495;6
0;0;0;0;0;0;0;0
0;5;0;0;0;1,28997247481397e-05;493;8
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000207209494099568;491;10
0;0;0;0;0;0;0;0
0;5;0,5;0;0,5;0,00130498880817822;489;12
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000534069647241277;487;14
0;0;0;0;0;0;0;0
0;5;0;0;0;0,00096302157514157;485;16
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000431385247254588;483;18
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000388180454922427;481;20
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000718623565871997;479;22
0;0;0;0;0;0;0;0
0;5;0;0;0;0,00056086648331186;477;24
0;0;0;0;0;0;0;0
0;5;0;0,166666666666667;-0,166666666666667;0,000271089070826414;475;26
0;0;0;0;0;0;0;0
0;5;0,2;0;0,2;0,000683907140828598;473;28
0;0;0;0;0;0;0;0
0;5;0,166666666666667;0,166666666666667;0;0,000560559131786596;471;30
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000398761821310849;469;32
0;0;0;0;0;0;0;0
0;5;0;0;0;0,0010551766249136;467;34
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000664430783858779;465;36
0;0;0;0;0;0;0;0
0;5;0,166666666666667;0;0,166666666666667;0,000495925944059265;463;38
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000506592469628724;461;40
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000434575111988067;459;42
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000491653219342782;457;44
0;0;0;0;0;0;0;0
0;5;0;0;0;0,00072954135790112;455;46
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000805283594184066;453;48
0;0;0;0;0;0;0;0
0;5;0,125;0;0,125;0,000605913875563215;451;50
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000388117425507252;449;52
0;0;0;0;0;0;0;0
0;5;0,111111111111111;0;0,111111111111111;0,000697299832929302;447;54
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000538992817701065;445;56
0;0;0;0;0;0;0;0
0;5;0,1;0;0,1;0,000570464209784407;443;58
0;0;0;0;0;0;0;0
0;5;0;0;0;0,00050762168807024;441;60
0;0;0;0;0;0;0;0
0;5;0,0833333333333333;0;0,0833333333333333;0,000569933292379189;439;62
0;0;0;0;0;0;0;0
0;5;0,0769230769230769;0;0,0769230769230769;0,000350704155993595;437;64
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000416247836445897;435;66
0;0;0;0;0;0;0;0
0;5;0,0588235294117647;0;0,0588235294117647;0,000517413288606933;433;68
0;0;0;0;0;0;0;0
0;5;0,05;0;0,05;0,000336427248097926;431;70
0;0;0;0;0;0;0;0
0;5;0,0909090909090909;0,0454545454545455;0,0454545454545455;0,000685131613895184;429;72
0;0;0;0;0;0;0;0
0;5;0;0;0;0,0006431294691458;427;74
0;0;0;0;0;0;0;0
0;5;0,0416666666666667;0;0,0416666666666667;0,000700275433297488;425;76
0;0;0;0;0;0;0;0
0;5;0,125;0;0,125;0,000629161425513399;423;78
0;0;0;0;0;0;0;0
0;5;0;0,037037037037037;-0,037037037037037;0,000596655244991489;421;80
0;0;0;0;0;0;0;0
0;5;0;0,153846153846154;-0,153846153846154;0,000507819998003093;419;82
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000506496557351077;417;84
0;0;0;0;0;0;0;0
0;5;0,0909090909090909;0;0,0909090909090909;0,000290922453611555;415;86
0;0;0;0;0;0;0;0
0;5;0,08;0;0,08;0,000512685900540685;413;88
0;0;0;0;0;0;0;0
0;5;0,0357142857142857;0,0357142857142857;0;0,000481221301593252;411;90
0;0;0;0;0;0;0;0
0;5;0,0689655172413793;0;0,0689655172413793;0,000457473342223883;409;92
0;0;0;0;0;0;0;0
0;5;0,0909090909090909;0;0,0909090909090909;0,000608023988866032;407;94
0;0;0;0;0;0;0;0
0;5;0,0555555555555556;0,0277777777777778;0,0277777777777778;0,000550249976299189;405;96
0;0;0;0;0;0;0;0
0;5;0;0;0;0,000640991575928456;403;98
0;0;0;0;0;0;0;0
0;5;0,1;0;0,1;0,000357220637766926;401;100
0;0;0;0;0;0;0;0
