"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000969568315642964;49;2
0;0;0;0;0;0;0;0
0;1;0;0;0;0,0024656220536042;47;4
0;0;0;0;0;0;0;0
0;1;0;0;0;0,00688818859152246;45;6
0;0;0;0;0;0;0;0
0;1;0;0;0;0,00296564301527606;43;8
0;0;0;0;0;0;0;0
0;1;0;0;0;0,00198978810989299;41;10
0;0;0;0;0;0;0;0
0;1;1;0,5;0,5;0,00196786945904305;39;12
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000378469546184919;37;14
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000428698885546013;35;16
0;0;0;0;0;0;0;0
0;1;0;0;0;0,00063172206941974;33;18
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000197537030058854;31;20
0;0;0;0;0;0;0;0
0;1;0,333333333333333;0;0,333333333333333;0,000619914742306277;29;22
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000113690706935029;27;24
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000834220333172773;25;26
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000497444171808514;23;28
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000869186930933444;21;30
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000807213222693972;19;32
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000702206574820862;17;34
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000428812260178454;15;36
0;0;0;0;0;0;0;0
0;1;0;0;0;0,00101126684007011;13;38
0;0;0;0;0;0;0;0
0;1;0,166666666666667;0;0,166666666666667;0,00015039494718131;11;40
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000644488002127297;9;42
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000256888550563968;7;44
0;0;0;0;0;0;0;0
0;1;0,25;0;0,25;0,000416159740257647;5;46
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000667395172371482;3;48
0;0;0;0;0;0;0;0
0;1;0,0769230769230769;0;0,0769230769230769;0,000872364863504602;1;50
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00164880364402818;49;2
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00954097061724474;47;4
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00154592540401423;45;6
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00356976116376139;43;8
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00331274621523682;41;10
0;0;0;0;0;0;0;0
0,25;1;0,333333333333333;0;0,333333333333333;0,000538559602387739;39;12
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000216306387748797;37;14
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000391086455192827;35;16
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000511178748624586;33;18
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000276230441902961;31;20
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00129244875003324;29;22
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000452761893419543;27;24
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,00029416137536779;25;26
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000283912939523318;23;28
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000758262853689334;21;30
0;0;0;0;0;0;0;0
0,25;1;0,166666666666667;0;0,166666666666667;0,000409133272160927;19;32
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000797253645539993;17;34
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000587112189427056;15;36
0;0;0;0;0;0;0;0
0,25;1;0;0,142857142857143;-0,142857142857143;0,000668684255054758;13;38
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000343437351038474;11;40
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000674113369613003;9;42
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000493781100339731;7;44
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000337397262435975;5;46
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000749766796701407;3;48
0;0;0;0;0;0;0;0
0,25;1;0;0;0;0,000330575482318568;1;50
0;0;0;0;0;0;0;0
1;1;0;0;0;5,9194389589852e-05;49;2
0;0;0;0;0;0;0;0
1;1;0;0;0;0,00124463079358071;47;4
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000479503581237327;45;6
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000531019428402059;43;8
0;0;0;0;0;0;0;0
1;1;0;0;0;0,00041277861429611;41;10
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000300772659367208;39;12
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000450337478348857;37;14
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000591342967301817;35;16
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000464330952615273;33;18
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000278256015997333;31;20
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000279136363621451;29;22
0;0;0;0;0;0;0;0
1;1;0;0;0;0,00035776272803647;27;24
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000362993710956453;25;26
0;0;0;0;0;0;0;0
1;1;0,25;0;0,25;0,000550317132270558;23;28
0;0;0;0;0;0;0;0
1;1;0;0;0;0,000304903251923452;21;30
0;0;0;0;0;0;0;0
