"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;1;1;0;1;0;35;1
0;0;0;0;0;0;0;0
0;1;0,33;0;0,33;0,000317747943615054;33;3
0;0;0;0;0;0;0;0
0;1;0,2;0;0,2;3,27680457633539e-05;31;5
0;0;0;0;0;0;0;0
0;1;0,57;0;0,57;0,0262722524393645;29;7
0;0;0;0;0;0;0;0
0;1;0,56;0;0,56;0,000180865825718565;27;9
0;0;0;0;0;0;0;0
0;1;0,55;0;0,55;7,49938124352349e-05;25;11
0;0;0;0;0;0;0;0
0;1;0,46;0;0,46;0,00012659463341506;23;13
0;0;0;0;0;0;0;0
0;1;0,4;0;0,4;4,27692668375779e-05;21;15
0;0;0;0;0;0;0;0
0;1;0,35;0;0,35;4,25589786858989e-05;19;17
0;0;0;0;0;0;0;0
0;1;0,32;0;0,32;9,17138163841758e-05;17;19
0;0;0;0;0;0;0;0
0;1;0,29;0;0,29;0,000145460813955593;15;21
0;0;0;0;0;0;0;0
0;1;0,35;0;0,35;9,79565524436089e-05;13;23
0;0;0;0;0;0;0;0
0;1;0,32;0;0,32;0,000158828689027161;11;25
0;0;0;0;0;0;0;0
0;1;0,3;0,04;0,26;0,000166340273142282;9;27
0;0;0;0;0;0;0;0
0;1;0,28;0,03;0,25;0,000156718883071251;7;29
0;0;0;0;0;0;0;0
0;1;0,26;0,06;0,2;6,16502068249055e-05;5;31
0;0;0;0;0;0;0;0
0;1;0,24;0,06;0,18;4,77566984710224e-05;3;33
0;0;0;0;0;0;0;0
0;1;0,23;0,06;0,17;0,000133909705037544;1;35
0,1;1;1;0;1;0;35;1
0;0;0;0;0;0;0;0
0,1;1;0,33;0;0,33;0,000129397709229373;33;3
0;0;0;0;0;0;0;0
0,1;1;0,2;0;0,2;0,00019075367818272;31;5
0;0;0;0;0;0;0;0
0,1;1;1,29;0;1,29;0,0261457164324141;29;7
0;0;0;0;0;0;0;0
0,1;1;1,11;0,11;1;0,000242220847776427;27;9
0;0;0;0;0;0;0;0
0,1;1;0,91;0,09;0,82;0,000139697265357557;25;11
0;0;0;0;0;0;0;0
0,1;1;0,77;0,08;0,69;0,000148245150954376;23;13
0;0;0;0;0;0;0;0
0,1;1;0,67;0,07;0,6;0,000118046162287641;21;15
0;0;0;0;0;0;0;0
0,1;1;0,59;0,06;0,53;0,000134254274460849;19;17
0;0;0;0;0;0;0;0
0,1;1;0,53;0,05;0,48;6,59019838103705e-05;17;19
0;0;0;0;0;0;0;0
0,1;1;0,52;0,05;0,47;9,86994662834547e-05;15;21
0;0;0;0;0;0;0;0
0,1;1;0,48;0,04;0,44;7,59376314663052e-05;13;23
0;0;0;0;0;0;0;0
0,1;1;0,48;0,04;0,44;0,00014093050651981;11;25
0;0;0;0;0;0;0;0
0,1;1;0,56;0,04;0,52;0,000157050951942757;9;27
0;0;0;0;0;0;0;0
0,1;1;0,52;0,03;0,49;0,000111175620763321;7;29
0;0;0;0;0;0;0;0
0,1;1;0,48;0,03;0,45;9,13443408926288e-05;5;31
0;0;0;0;0;0;0;0
0,1;1;0,45;0,03;0,42;0,000105382045127266;3;33
0;0;0;0;0;0;0;0
0,1;1;0,43;0,06;0,37;5,82314606690226e-05;1;35
0,2;1;1;0;1;0;35;1
0;0;0;0;0;0;0;0
0,2;1;0,33;0;0,33;9,17512284592248e-05;33;3
0;0;0;0;0;0;0;0
0,2;1;0,2;0;0,2;0,000285315595880131;31;5
0;0;0;0;0;0;0;0
0,2;1;1,29;0;1,29;0,0262671634919417;29;7
0;0;0;0;0;0;0;0
0,2;1;1;0,11;0,89;0,000178892264281541;27;9
0;0;0;0;0;0;0;0
0,2;1;0,91;0,09;0,82;0,000186644877438925;25;11
0;0;0;0;0;0;0;0
