"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation";"speciestotal"
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0,000424991199615532;99;2;1
0;0;0;0;0;0;0;0;0
0;1;0,25;0;0,25;0,00115643743930727;97;4;1
0;0;0;0;0;0;0;0;0
0;1;0,17;0;0,17;0,000708974784208505;95;6;1
0;0;0;0;0;0;0;0;0
0;1;0,75;0;0,75;0,000131611658607075;93;8;6
0;0;0;0;0;0;0;0;0
0;1;0,7;0,1;0,6;0,000233567334937225;91;10;7
0;0;0;0;0;0;0;0;0
0;1;0,67;0,08;0,59;0,000147068038024358;89;12;8
0;0;0;0;0;0;0;0;0
0;1;0,64;0,07;0,57;0,000195104509848686;87;14;9
0;0;0;0;0;0;0;0;0
0;1;0,56;0,06;0,5;0,000132052659923599;85;16;9
0;0;0;0;0;0;0;0;0
0;1;0,5;0,11;0,39;0,000175250035850398;83;18;9
0;0;0;0;0;0;0;0;0
0;1;0,45;0,1;0,35;7,37158434342371e-05;81;20;9
0;0;0;0;0;0;0;0;0
0;1;0,5;0,09;0,41;0,000271590805988166;79;22;11
0;0;0;0;0;0;0;0;0
0;1;0,5;0,12;0,38;0,000211827517026697;77;24;12
0;0;0;0;0;0;0;0;0
0;1;0,46;0,12;0,34;7,1417527099043e-05;75;26;12
0;0;0;0;0;0;0;0;0
0;1;0,43;0,11;0,32;0,000105792183536945;73;28;12
0;0;0;0;0;0;0;0;0
0;1;0,4;0,1;0,3;0,000107318273125311;71;30;12
0;0;0;0;0;0;0;0;0
0;1;0,38;0,09;0,29;8,28244080052467e-05;69;32;12
0;0;0;0;0;0;0;0;0
0;1;0,38;0,09;0,29;5,00161976945884e-05;67;34;13
0;0;0;0;0;0;0;0;0
0;1;0,39;0,08;0,31;0,000101485121257519;65;36;14
0;0;0;0;0;0;0;0;0
0;1;0,37;0,08;0,29;0,000308089730298252;63;38;14
0;0;0;0;0;0;0;0;0
0;1;0,4;0,12;0,28;0,000122127447882375;61;40;16
0;0;0;0;0;0;0;0;0
0;1;0,38;0,12;0,26;0,000105694531196167;59;42;16
0;0;0;0;0;0;0;0;0
0;1;0,36;0,11;0,25;6,21735990625558e-05;57;44;16
0;0;0;0;0;0;0;0;0
0;1;0,35;0,11;0,24;8,57290679755535e-05;55;46;16
0;0;0;0;0;0;0;0;0
0;1;0,33;0,1;0,23;0,00013644079650377;53;48;16
0;0;0;0;0;0;0;0;0
0;1;0,34;0,1;0,24;0,000101249813572434;51;50;17
0;0;0;0;0;0;0;0;0
0;1;0,35;0,1;0,25;0,000134904761019023;49;52;18
0;0;0;0;0;0;0;0;0
0;1;0,37;0,09;0,28;0,000116513356603909;47;54;20
0;0;0;0;0;0;0;0;0
0;1;0,36;0,11;0,25;7,2922634512747e-05;45;56;20
0;0;0;0;0;0;0;0;0
0;1;0,43;0,1;0,33;0,000137543451146138;43;58;25
0;0;0;0;0;0;0;0;0
0;1;0,45;0,1;0,35;0,000139791857180295;41;60;27
0;0;0;0;0;0;0;0;0
0;1;0,47;0,1;0,37;0,000140442680560119;39;62;29
0;0;0;0;0;0;0;0;0
0;1;0,45;0,11;0,34;9,70864976078817e-05;37;64;29
0;0;0;0;0;0;0;0;0
0;1;0,44;0,11;0,33;0,000143548009090415;35;66;29
0;0;0;0;0;0;0;0;0
0;1;0,43;0,16;0,27;8,41562798787995e-05;33;68;29
0;0;0;0;0;0;0;0;0
0;1;0,43;0,17;0,26;6,91478390904407e-05;31;70;30
0;0;0;0;0;0;0;0;0
0;1;0,46;0,17;0,29;8,69902240678441e-05;29;72;33
0;0;0;0;0;0;0;0;0
0;1;0,47;0,18;0,29;9,05717518825009e-05;27;74;35
0;0;0;0;0;0;0;0;0
0;1;0,54;0,17;0,37;7,83556589304729e-05;25;76;41
0;0;0;0;0;0;0;0;0
0;1;0,53;0,17;0,36;5,58809946085188e-05;23;78;41
0;0;0;0;0;0;0;0;0
0;1;0,51;0,16;0,35;8,48252835612743e-05;21;80;41
0;0;0;0;0;0;0;0;0
0;1;0,5;0,16;0,34;6,31410832711694e-05;19;82;41
0;0;0;0;0;0;0;0;0
0;1;0,5;0,15;0,35;5,33069055968723e-05;17;84;42
0;0;0;0;0;0;0;0;0
0;1;0,5;0,15;0,35;6,53280836771615e-05;15;86;43
0;0;0;0;0;0;0;0;0
0;1;0,5;0,15;0,35;7,92349938486098e-05;13;88;44
0;0;0;0;0;0;0;0;0
0;1;0,49;0,14;0,35;7,12995520683637e-05;11;90;44
0;0;0;0;0;0;0;0;0
0;1;0,51;0,14;0,37;8,21394633154109e-05;9;92;47
0;0;0;0;0;0;0;0;0
0;1;0,5;0,14;0,36;0,000116207279834454;7;94;47
0;0;0;0;0;0;0;0;0
0;1;0,49;0,17;0,32;5,82500318597996e-05;5;96;47
0;0;0;0;0;0;0;0;0
0;1;0,48;0,16;0,32;7,16037645620309e-05;3;98;47
0;0;0;0;0;0;0;0;0
0;1;0,48;0,16;0,32;7,58966166007121e-05;1;100;48
0;0;0;0;0;0;0;0;0
0,1;1;0,5;0;0,5;0,00038783923708402;99;2;1
0;0;0;0;0;0;0;0;0
0,1;1;0,25;0;0,25;7,17489663296655e-05;97;4;1
0;0;0;0;0;0;0;0;0
0,1;1;0,17;0;0,17;0,000142570576142087;95;6;1
0;0;0;0;0;0;0;0;0
0,1;1;1;0,12;0,88;0,000176984318086572;93;8;8
0;0;0;0;0;0;0;0;0
0,1;1;0,9;0,2;0,7;0,000106821057949256;91;10;9
0;0;0;0;0;0;0;0;0
0,1;1;0,75;0,17;0,58;4,63808553927136e-05;89;12;9
0;0;0;0;0;0;0;0;0
0,1;1;0,71;0,14;0,57;0,000164368209658563;87;14;10
0;0;0;0;0;0;0;0;0
0,1;1;0,69;0,12;0,57;0,000124363290663704;85;16;11
0;0;0;0;0;0;0;0;0
0,1;1;0,61;0,17;0,44;0,000218219889260612;83;18;11
