"plasticity";"replications";"enviroment_type";"speciation";"extinction";"diversif";"traitevolution";"timesimulation";"abundance";"occupancy";"alive_spec"
0,25;1;"stable_fast";0;0;0;0;1;205;1;1
0,25;1;"stable_fast";0;0;0;0,00556762918723169;2;200;0,728187919463087;1
0,25;1;"stable_fast";0;0;0;0,000117910406100577;3;199;0,724252491694352;1
0,25;1;"stable_fast";0;0;0;0,000344540954880689;4;198;0,733333333333333;1
0,25;1;"stable_fast";0;0;0;0,00112837731549382;5;203;0,713826366559486;1
0,25;1;"stable_fast";0;0;0;0,000375170491038114;6;201;0,714285714285714;1
0,25;1;"stable_fast";0;0;0;0,0013277972781165;7;204;0,688073394495413;1
0,25;1;"stable_fast";0;0;0;0,00096453719058897;8;208;0,673652694610778;1
0,25;1;"stable_fast";0;0;0;0,000156813001145251;9;214;0,663865546218487;1
0,25;1;"stable_fast";0;0;0;1,43344164374929e-05;10;225;0,651226158038147;1
0,25;1;"stable_fast";4;0;4;0,113143169896599;11;46,8;0,720316622691293;5
0,25;1;"stable_fast";0;0;0;0,0003050845761162;12;48,2;0,692111959287532;5
0,25;1;"stable_fast";0;0;0;0,000548509937123417;13;48;0,70076726342711;5
0,25;1;"stable_fast";0;0;0;0,000237819948818232;14;49,4;0,67866323907455;5
0,25;1;"stable_fast";0;0;0;0,000588148698744502;15;50,6;0,68298969072165;5
0,25;1;"stable_fast";0;0;0;0,000418598901799051;16;55,6;0,684754521963824;5
0,25;1;"stable_fast";0;0;0;0,000427561156872894;17;61,4;0,675191815856777;5
0,25;1;"stable_fast";0;0;0;0,000331192357242972;18;67;0,69250645994832;5
0,25;1;"stable_fast";0;0;0;0,000144170143028603;19;71,8;0,717948717948718;5
0,25;1;"stable_fast";0;0;0;0,00026475429132266;20;72,2;0,702842377260982;5
0,25;1;"stable_fast";0;0;0;0,00018002169834115;21;72,8;0,704370179948586;5
0,25;1;"stable_fast";0;0;0;0,000170837301359384;22;72,2;0,70757180156658;5
0,25;1;"stable_fast";0,2;0;0,2;0,000663042113363481;23;60,5;0,700787401574803;6
0,25;1;"stable_fast";0;0;0;0,000285231491869453;24;61;0,706036745406824;6
0,25;1;"stable_fast";0;0;0;0,000241636366400427;25;61;0,714666666666667;6
0,25;1;"stable_fast";0;0;0;0,000397496609553067;26;60,3333333333333;0,718498659517426;6
0,25;1;"stable_fast";0;0,166666666666667;-0,166666666666667;0,000148855056081891;27;71,2;0,703208556149733;5
0,25;1;"stable_fast";0;0;0;0,000452663114640602;28;68,6;0,692098092643052;5
0,25;1;"stable_fast";0;0;0;0,000569694988044826;29;67,6;0,723756906077348;5
0,25;1;"stable_fast";0;0;0;0,000544797202973319;30;67,2;0,682584269662921;5
0,25;1;"stable_fast";0;0;0;0,000336945006249677;31;68,4;0,711864406779661;5
0,25;1;"stable_fast";0;0;0;0,000274219616107569;32;68,6;0,740112994350282;5
0,25;1;"stable_fast";0;0,2;-0,2;0,000467247279234531;33;60,5;0,54601226993865;4
0,25;1;"stable_fast";0;0;0;0,000366539712697424;34;65,75;0,56441717791411;4
0,25;1;"stable_fast";0;0;0;0,000200963877497359;35;71;0,55521472392638;4
0,25;1;"stable_fast";0;0;0;0,000254249604140361;36;78,25;0,544891640866873;4
0,25;1;"stable_fast";0;0;0;0,000157286884778679;37;81,75;0,571428571428571;4
0,25;1;"stable_fast";0;0;0;0,000404629594800286;38;88,75;0,564668769716088;4
0,25;1;"stable_fast";0;0;0;0,000272016109352694;39;93,75;0,576323987538941;4
0,25;1;"stable_fast";0;0;0;0,000106995579536775;40;97;0,575;4
0,25;1;"stable_fast";0;0;0;0,000119630474287255;41;99,75;0,577777777777778;4
0,25;1;"stable_fast";0;0;0;0,000180599544817779;42;100,25;0,584905660377358;4
0,25;1;"stable_fast";0,25;0;0,25;0,00029916898215376;43;82,8;0,596330275229358;5
0,25;1;"stable_fast";0;0;0;0,00039575450624441;44;84;0,585365853658537;5
0,25;1;"stable_fast";0;0;0;0,000179391518664743;45;80,8;0,56832298136646;5
0,25;1;"stable_fast";0;0;0;0,000350317288908951;46;80;0,560747663551402;5
0,25;1;"stable_fast";0;0;0;0,000411897057690421;47;77,2;0,573248407643312;5
0,25;1;"stable_fast";0;0;0;0,000522007080592917;48;77,6;0,57741935483871;5
0,25;1;"stable_fast";0;0;0;0,000215524063655937;49;74,4;0,579470198675497;5
0,25;1;"stable_fast";0;0;0;0,000237903513712494;50;73,6;0,58;5
0,25;1;"stable_fast";0;0;0;0,000227843319325138;51;72,8;0,578767123287671;5
0,25;1;"stable_fast";0;0;0;0,000414730302703326;52;73,6;0,56953642384106;5
0,25;1;"stable_fast";0;0;0;0,000374153097355414;53;73;0,546979865771812;5
0,25;1;"stable_fast";0;0;0;0,000221763737854849;54;74,2;0,564784053156146;5
0,25;1;"stable_fast";0;0;0;0,0004077165027557;55;72,6;0,583333333333333;5
0,25;1;"stable_fast";0;0;0;0,000367424331560127;56;75,4;0,578778135048232;5
0,25;1;"stable_fast";0;0;0;0,000231673233166823;57;75,6;0,587301587301587;5
0,25;1;"stable_fast";0,2;0;0,2;0,00058827023428312;58;64;0,584097859327217;6
