"plasticity";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0;2;0;0;0;0;1
0;2;0;0;0;0,00290778798573672;2
0;2;0;0;0;0,00249060032154201;3
0;2;0;0;0;0,00237447219580811;4
0;2;0;0;0;0,00143253611740323;5
0;2;0;0;0;0,00277517748080223;6
0;2;0;0;0;0,000536083257736462;7
0;2;0;0;0;0,00056571573304406;8
0;2;0;0;0;0,0014019645033638;9
0;2;0;0;0;0,00347298245853687;10
0;2;3;0;3;0,0295001836077153;11
0;2;0,25;0;0,25;0,000715354270575693;12
0;2;0;0,4;-0,4;0,00159008594464492;13
0;2;0,333333333333333;0,333333333333333;0;0,00151575460229837;14
0;2;0;0;0;0,000170114474020951;15
0;2;0;0,333333333333333;-0,333333333333333;0,000154925468347138;16
0;2;0;0;0;0,000191506119695691;17
0;2;0;0;0;0,000527834763819301;18
0;2;0;0;0;0,000396212581725413;19
0;2;0;0;0;0,000417952106703563;20
0,25;2;0;0;0;0;1
0,25;2;0;0;0;0,000718653235369112;2
0,25;2;0;0;0;0,000758016082499099;3
0,25;2;0;0;0;0,000266275642705071;4
0,25;2;0;0;0;0,000832946899911517;5
0,25;2;0;0;0;0,00147932594202769;6
0,25;2;0;0;0;0,00119475839619891;7
0,25;2;0;0;0;0,000132765082505981;8
0,25;2;0;0;0;0,00100217853439393;9
0,25;2;0;0;0;0,000260095908493097;10
0,25;2;5;0;5;0,0603803051973667;11
0,25;2;0;0;0;0,000591957356581134;12
0,25;2;0;0;0;0,000470773740094873;13
0,25;2;0;0;0;0,000749706812150135;14
0,25;2;0;0;0;0,000488349317321703;15
0,25;2;0;0;0;0,00031971472459659;16
0,25;2;0;0;0;0,000989421733817577;17
0,25;2;0;0;0;0,000597788109002266;18
0,25;2;0;0;0;0,000291618128230381;19
0,25;2;0;0;0;0,000617298159697596;20
1;2;0;0;0;0;1
1;2;0;0;0;0,000119694625328828;2
1;2;0;0;0;0,000127791245330765;3
1;2;0;0;0;0,000330976793609323;4
1;2;0;0;0;4,17905673572994e-06;5
1;2;0;0;0;0,000363264252095002;6
1;2;0;0;0;0,000285630304470319;7
1;2;0;0;0;0,000401407086926724;8
1;2;0;0;0;0,000424576069736614;9
1;2;0;0;0;9,04546021180656e-05;10
1;2;5;0;5;0,0621291120234824;11
1;2;0;0;0;0,00062753192039816;12
1;2;0,166666666666667;0;0,166666666666667;0,000638794965483568;13
1;2;0;0;0;0,000417882437871935;14
1;2;0;0;0;0,000826772509547615;15
1;2;0,142857142857143;0;0,142857142857143;0,00173212175549319;16
1;2;0;0;0;0,000681430490026618;17
1;2;0;0;0;0,000241397875103263;18
1;2;0;0;0;0,000435725905778592;19
1;2;0;0;0;0,000383187264342454;20
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
0;0;0;0;0;0;0
