"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0;3;0;0;0;0,00203829591672818;9;2
0;0;0;0;0;0;0;0
0;3;0;0;0;9,36455652399348e-05;7;4
0;0;0;0;0;0;0;0
0;3;0;0;0;9,68239221965357e-05;5;6
0;0;0;0;0;0;0;0
0;3;0;0;0;0,000539300112907743;3;8
0;0;0;0;0;0;0;0
0;3;0;0;0;8,04110334756107e-05;1;10
0;0;0;0;0;0;0;0
0,25;3;0;0;0;0,00057360738673658;9;2
0;0;0;0;0;0;0;0
0,25;3;0;0;0;0,000161459602689797;7;4
0;0;0;0;0;0;0;0
0,25;3;0;0;0;0,00085539283794002;5;6
0;0;0;0;0;0;0;0
0,25;3;0;0;0;0,000551726148261739;3;8
0;0;0;0;0;0;0;0
0,25;3;0;0;0;0,000111873602977386;1;10
0;0;0;0;0;0;0;0
0,5;3;0;0;0;0,000297637313185319;9;2
0;0;0;0;0;0;0;0
0,5;3;0;0;0;0,000498495633313526;7;4
0;0;0;0;0;0;0;0
0,5;3;0;0;0;0,000116221008151251;5;6
0;0;0;0;0;0;0;0
0,5;3;0;0;0;0,000234674645952772;3;8
0;0;0;0;0;0;0;0
0,5;3;0;0;0;1,91320466155671e-05;1;10
0;0;0;0;0;0;0;0
0,75;3;0;0;0;0,000154188112336497;9;2
0;0;0;0;0;0;0;0
0,75;3;0;0;0;1,90380437810367e-05;7;4
0;0;0;0;0;0;0;0
0,75;3;0;0;0;0,00041663291593752;5;6
0;0;0;0;0;0;0;0
0,75;3;0;0;0;0,000138702303327414;3;8
0;0;0;0;0;0;0;0
0,75;3;0;0;0;0,000189427624796871;1;10
0;0;0;0;0;0;0;0
1;3;0;0;0;8,87026315945852e-06;9;2
0;0;0;0;0;0;0;0
1;3;0;0;0;2,29528291733214e-05;7;4
0;0;0;0;0;0;0;0
1;3;0;0;0;0,000393938971423805;5;6
0;0;0;0;0;0;0;0
1;3;0;0;0;8,2562535177314e-05;3;8
0;0;0;0;0;0;0;0
1;3;0;0;0;0,000166480962664438;1;10
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0
