"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation";"speciestotal"
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0,00149339691601402;999;2;1
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0,000666767988985073;997;4;1
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0,00332471356708008;995;6;1
0;0;0;0;0;0;0;0;0
0;1;1;0;1;0,00206109650917452;993;8;4
0;0;0;0;0;0;0;0;0
0;1;0,25;0;0,25;0,000290370609170643;991;10;5
0;0;0;0;0;0;0;0;0
0;1;0,2;0,4;-0,2;0,00250084952304238;989;12;6
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;987;14;6
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;985;16;6
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;983;18;6
0;0;0;0;0;0;0;0;0
0;1;0,333333333333333;0;0,333333333333333;0;981;20;7
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;979;22;7
0;0;0;0;0;0;0;0;0
0;1;0,333333333333333;0;0,333333333333333;0;977;24;8
0;0;0;0;0;0;0;0;0
0;1;0,25;0;0,25;0;975;26;9
0;0;0;0;0;0;0;0;0
0;1;0;0,2;-0,2;0;973;28;9
0;0;0;0;0;0;0;0;0
0;1;0;0,2;-0,2;0;971;30;10
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;969;32;10
0;0;0;0;0;0;0;0;0
0;1;0;0,333333333333333;-0,333333333333333;0;967;34;10
0;0;0;0;0;0;0;0;0
0;1;0,5;0,5;0;0;965;36;11
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;963;38;11
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;961;40;11
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0;959;42;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;957;44;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;955;46;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;953;48;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;951;50;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;949;52;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;947;54;12
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;945;56;12
0;0;0;0;0;0;0;0;0
0;1;0,5;0;0,5;0;943;58;13
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;941;60;15
0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;939;62;15
0;0;0;0;0;0;0;0;0
