"plasticity";"replications";"speciation";"extinction";"diversif";"traitevolution";"timesimulation"
0;3;0;0;0;0;1
0;3;0;0;0;0,00650188545569259;2
0;3;0;0;0;0,00427684335734285;3
0;3;0;0;0;0,000928370993643101;4
0;3;0;0;0;0,00190076881960593;5
0;3;0;0;0;0,00373833750136679;6
0;3;0;0;0;8,62583346836013e-05;7
0;3;0;0;0;0,000439849977157595;8
0;3;0;0;0;1,44920085125648e-06;9
0;3;0;0;0;0,000353806277978766;10
0;3;1;0;1;0,00250874993093699;11
0;3;0;0;0;0,000204722206979035;12
0;3;0;0;0;0,000417101260700534;13
0;3;0;0;0;0,00026124371594772;14
0;3;0;0;0;0,000805843836504635;15
0;3;0,5;0;0,5;0,000519338846937917;16
0;3;0,333333333333333;0;0,333333333333333;0,000450514203951841;17
0;3;0;0,5;-0,5;0,00026255247295234;18
0;3;0;0;0;0,000615050589538793;19
0;3;0;0;0;0,000646320885487916;20
0;3;0;0;0;0,000631712673055968;21
0;3;0;0;0;0,000942972315128216;22
0;3;0;0;0;0,000176299465995159;23
0;3;0,5;0;0,5;0,000675586476185245;24
0;3;0;0;0;0,000609157082604521;25
0;3;0;0;0;0,000534007286177652;26
0;3;0;0;0;0,000945909743799164;27
0;3;0;0;0;0,00121767941192511;28
0;3;0;0;0;0,00125442904543769;29
0;3;0;0;0;0,00036949049865596;30
0;3;0;0,333333333333333;-0,333333333333333;0,000631412689430036;31
0;3;0;0;0;0,000273974535195759;32
0;3;0;0,5;-0,5;0,000286205224622729;33
0;3;0;0;0;0,00185647326638209;34
0;3;0;0;0;0,00119788668127621;35
0;3;0;0;0;0,00129764415244121;36
0;3;0;0;0;0,0011123174852431;37
0;3;0;0;0;0,000201224623871825;38
0;3;0;0;0;0,000530074511345686;39
0;3;0;0;0;8,92876121621301e-05;40
0;3;0;0;0;0,000208177557075453;41
0;3;0;0;0;0,00153511062896663;42
0;3;0;0;0;0,000985835900531078;43
0;3;0;0;0;0,00116854434013006;44
0;3;0;0;0;9,38563606170406e-05;45
0;3;0;0;0;0,000274502989063811;46
0;3;0;0;0;0,000349116903688877;47
0;3;0;0;0;0,000738524329308129;48
