"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0;2;0;0;0;0,00487260765580569;499;2
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000443846207726705;497;4
0;0;0;0;0;0;0;0
0;2;0;0;0;0,0012551832348828;495;6
0;0;0;0;0;0;0;0
0;2;0;0;0;0,00581382339938631;493;8
0;0;0;0;0;0;0;0
0;2;0;0;0;0,0053454541376963;491;10
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000125133864072212;489;12
0;0;0;0;0;0;0;0
0;2;0,333333333333333;0;0,333333333333333;0,00115333407236399;487;14
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000381381618025497;485;16
0;0;0;0;0;0;0;0
0;2;0,25;0;0,25;0,000328721275344083;483;18
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000566730871419427;481;20
0;0;0;0;0;0;0;0
0;2;0;0;0;0,00111942312396236;479;22
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000911879234476965;477;24
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000684324384432236;475;26
0;0;0;0;0;0;0;0
0;2;0,2;0;0,2;0,00136887375349188;473;28
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000425934650139911;471;30
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000609090667400076;469;32
0;0;0;0;0;0;0;0
0;2;0;0,2;-0,2;0,000634731100512532;467;34
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000812656772456076;465;36
0;0;0;0;0;0;0;0
0;2;0;0;0;0,00061890190416567;463;38
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000581794929157319;461;40
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000706274743683792;459;42
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000263421014024657;457;44
0;0;0;0;0;0;0;0
0;2;0,25;0;0,25;0,000529163641037011;455;46
0;0;0;0;0;0;0;0
0;2;0;0,166666666666667;-0,166666666666667;0,000505440287655106;453;48
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000458931322027432;451;50
0;0;0;0;0;0;0;0
0;2;0,2;0;0,2;0,000482866204483097;449;52
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000777242673025833;447;54
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000311476399363598;445;56
0;0;0;0;0;0;0;0
0;2;0,2;0;0,2;0,000708278486575431;443;58
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000489549906956423;441;60
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000366188131550686;439;62
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000426373769135494;437;64
0;0;0;0;0;0;0;0
0;2;0;0;0;0,000623568181100616;435;66
0;0;0;0;0;0;0;0
