"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00731125186628984;999;2
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00212047319529498;997;4
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00133723705025433;995;6
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000852842496670393;993;8
0;0;0;0;0;0;0;0
0;4;0;0;0;1,35856047911234e-05;991;10
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000217348246006864;989;12
0;0;0;0;0;0;0;0
0;4;0,5;0;0,5;0,000383743710156839;987;14
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000672069759959856;985;16
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000335785441183401;983;18
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000588856390036292;981;20
0;0;0;0;0;0;0;0
0;4;0,25;0;0,25;0,000198322882888101;979;22
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000456025841577673;977;24
0;0;0;0;0;0;0;0
0;4;0;0,2;-0,2;0,000814994481509632;975;26
0;0;0;0;0;0;0;0
0;4;0,25;0,25;0;0,000596120646403433;973;28
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000458158261669027;971;30
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000536667760520176;969;32
0;0;0;0;0;0;0;0
0;4;0,5;0;0,5;0,000606044668331071;967;34
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000637447706269694;965;36
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00055794584279448;963;38
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000491431172145997;961;40
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000503192859886763;959;42
0;0;0;0;0;0;0;0
0;4;0,5;0;0,5;0,000382481211074278;957;44
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000514629455629694;955;46
0;0;0;0;0;0;0;0
0;4;0,1;0;0,1;0,000670598273049016;953;48
0;0;0;0;0;0;0;0
0;4;0;0,0909090909090909;-0,0909090909090909;0,000612150348399561;951;50
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000512077024559398;949;52
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00106004388334781;947;54
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000493450944357366;945;56
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000596798627667363;943;58
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000579926856392844;941;60
0;0;0;0;0;0;0;0
0;4;0,1;0;0,1;0,000445849763553558;939;62
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00065343504611936;937;64
0;0;0;0;0;0;0;0
0;4;0,0769230769230769;0;0,0769230769230769;0,000524974173000134;935;66
0;0;0;0;0;0;0;0
0;4;0,0769230769230769;0;0,0769230769230769;0,000507008316015925;933;68
0;0;0;0;0;0;0;0
0;4;0,0666666666666667;0;0,0666666666666667;0,000552403390103413;931;70
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000703293267692037;929;72
0;0;0;0;0;0;0;0
0;4;0;0,0625;-0,0625;0,000479571214206681;927;74
0;0;0;0;0;0;0;0
0;4;0;0,0625;-0,0625;0,000447824122808325;925;76
0;0;0;0;0;0;0;0
0;4;0,0555555555555556;0;0,0555555555555556;0,000411811117710209;923;78
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00031977486642336;921;80
0;0;0;0;0;0;0;0
0;4;0,0526315789473684;0;0,0526315789473684;0,000468162307002113;919;82
0;0;0;0;0;0;0;0
0;4;0,0833333333333333;0,0833333333333333;0;0,00071274763603723;917;84
0;0;0;0;0;0;0;0
0;4;0,0416666666666667;0,0416666666666667;0;0,000429701023334517;915;86
0;0;0;0;0;0;0;0
0;4;0,0416666666666667;0,0416666666666667;0;0,000564771706170183;913;88
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000376012660192603;911;90
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000505560388405902;909;92
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000534165276821638;907;94
0;0;0;0;0;0;0;0
0;4;0,115384615384615;0;0,115384615384615;0,000429844893547675;905;96
0;0;0;0;0;0;0;0
0;4;0,0344827586206897;0,0344827586206897;0;0,000674276162078481;903;98
0;0;0;0;0;0;0;0
0;4;0,03125;0;0,03125;0,000672559508997774;901;100
0;0;0;0;0;0;0;0
0;4;0,0588235294117647;0;0,0588235294117647;0,000572468406146251;899;102
0;0;0;0;0;0;0;0
0;4;0,0263157894736842;0,0526315789473684;-0,0263157894736842;0,000544470978811289;897;104
0;0;0;0;0;0;0;0
