"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00253671542443905;499;2
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00179054592059414;497;4
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00376968063597342;495;6
0;0;0;0;0;0;0;0
0;9;0;0;0;0,0044821975100506;493;8
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00024302306460227;491;10
0;0;0;0;0;0;0;0
0;9;1;0;1;0,000806598869193546;489;12
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00020154784988043;487;14
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000380116441055031;485;16
0;0;0;0;0;0;0;0
0;9;0,25;0;0,25;0,000445654165263825;483;18
0;0;0;0;0;0;0;0
0;9;0;0,2;-0,2;0,000655147325196832;481;20
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000542111190430442;479;22
0;0;0;0;0;0;0;0
0;9;0,25;0;0,25;0,000818633280741103;477;24
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000346887977396808;475;26
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000410021161161109;473;28
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00107124400391614;471;30
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000823826586731812;469;32
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000839016214260048;467;34
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000186925012847256;465;36
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000616006658362541;463;38
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000204348383099297;461;40
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000364524949578962;459;42
0;0;0;0;0;0;0;0
0;9;0,25;0;0,25;0,00053670078104812;457;44
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00055841749537965;455;46
0;0;0;0;0;0;0;0
0;9;0;0;0;0,0005726126664074;453;48
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000653881611390327;451;50
0;0;0;0;0;0;0;0
0;9;0;0,2;-0,2;0,00103081260227498;449;52
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000485023860277337;447;54
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000250045680364585;445;56
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000364507476313566;443;58
0;0;0;0;0;0;0;0
0;9;0,25;0;0,25;0,000498369793056035;441;60
0;0;0;0;0;0;0;0
0;9;0,2;0;0,2;0,000378171079546804;439;62
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000617838972504248;437;64
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000102270526613748;435;66
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000543473844543447;433;68
0;0;0;0;0;0;0;0
0;9;0,142857142857143;0,142857142857143;0;0,000391728997532286;431;70
0;0;0;0;0;0;0;0
0;9;0;0,166666666666667;-0,166666666666667;0,000499948462364378;429;72
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00105527557087785;427;74
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000380237216620273;425;76
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000310928073185017;423;78
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000440829220955313;421;80
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000301184729151981;419;82
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000744401501419058;417;84
0;0;0;0;0;0;0;0
0;9;0,142857142857143;0,142857142857143;0;0,000727679606199276;415;86
0;0;0;0;0;0;0;0
0;9;0;0,125;-0,125;0,000445912597212507;413;88
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000590907241959733;411;90
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000798973374976234;409;92
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000706571287864733;407;94
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00051558662914518;405;96
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000385876097445019;403;98
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000436680076205858;401;100
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000518964688179195;399;102
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000689073199490084;397;104
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000800305026979056;395;106
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00119415959943733;393;108
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000398040340934311;391;110
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00105409730510737;389;112
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000206239642642346;387;114
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000543522410634645;385;116
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00040018948220245;383;118
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00029199562122386;381;120
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000570016708975723;379;122
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00032069084861079;377;124
0;0;0;0;0;0;0;0
0;9;0,222222222222222;0,111111111111111;0,111111111111111;0,000575988649967511;375;126
0;0;0;0;0;0;0;0
0;9;0;0,1;-0,1;0,000637467538441694;373;128
0;0;0;0;0;0;0;0
0;9;0;0;0;0,00066172454932455;371;130
0;0;0;0;0;0;0;0
0;9;0,125;0;0,125;0,00060883343227078;369;132
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000860829677549598;367;134
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000452970525848977;365;136
0;0;0;0;0;0;0;0
0;9;0,111111111111111;0;0,111111111111111;0,000604120791277268;363;138
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000840756086085248;361;140
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000639557951711682;359;142
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000554617593444787;357;144
0;0;0;0;0;0;0;0
0;9;0;0,0833333333333333;-0,0833333333333333;0,000740426590736212;355;146
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000441908697493269;353;148
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000381125136976257;351;150
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000417518778458872;349;152
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000559258288647712;347;154
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000380098757065267;345;156
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000497052136257811;343;158
0;0;0;0;0;0;0;0
0;9;0,142857142857143;0;0,142857142857143;0,000660017052993475;341;160
0;0;0;0;0;0;0;0
0;9;0,142857142857143;0;0,142857142857143;0,000495168826415807;339;162
0;0;0;0;0;0;0;0
0;9;0,0526315789473684;0;0,0526315789473684;0,000468298008424869;337;164
0;0;0;0;0;0;0;0
0;9;0,0434782608695652;0;0,0434782608695652;0,000460722842346316;335;166
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000487174991948235;333;168
0;0;0;0;0;0;0;0
0;9;0,0833333333333333;0,0416666666666667;0,0416666666666667;0,000692493561611684;331;170
0;0;0;0;0;0;0;0
0;9;0,115384615384615;0;0,115384615384615;0,000654649518877216;329;172
0;0;0;0;0;0;0;0
0;9;0,0333333333333333;0;0,0333333333333333;0,000642618598014613;327;174
0;0;0;0;0;0;0;0
0;9;0,15625;0;0,15625;0,000576752278902924;325;176
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000594678935099317;323;178
0;0;0;0;0;0;0;0
0;9;0,0263157894736842;0;0,0263157894736842;0,000637510923851121;321;180
0;0;0;0;0;0;0;0
0;9;0,0256410256410256;0,0256410256410256;0;0,000642858685736311;319;182
0;0;0;0;0;0;0;0
0;9;0,0789473684210526;0,0789473684210526;0;0,000685039406376557;317;184
0;0;0;0;0;0;0;0
0;9;0;0,0540540540540541;-0,0540540540540541;0,000546983774127755;315;186
0;0;0;0;0;0;0;0
0;9;0;0;0;0,000384914050955749;313;188
0;0;0;0;0;0;0;0
0;9;0,0810810810810811;0,027027027027027;0,0540540540540541;0,000442885856665988;311;190
0;0;0;0;0;0;0;0
0;9;0,2;0;0,2;0,000460374389429578;309;192
0;0;0;0;0;0;0;0
0;9;0,0185185185185185;0,037037037037037;-0,0185185185185185;0,000791730931886984;307;194
0;0;0;0;0;0;0;0
0;9;0;0,117647058823529;-0,117647058823529;0,000746480973784842;305;196
0;0;0;0;0;0;0;0
0;9;0,0833333333333333;0,104166666666667;-0,0208333333333333;0,000643779666858936;303;198
0;0;0;0;0;0;0;0
0;9;0,0212765957446809;0;0,0212765957446809;0,000376352910699764;301;200
0;0;0;0;0;0;0;0
0;9;0,0208333333333333;0;0,0208333333333333;0,000504087080359487;299;202
0;0;0;0;0;0;0;0
0;9;0,06;0,02;0,04;0,000385291771293832;297;204
0;0;0;0;0;0;0;0
0;9;0,0377358490566038;0;0,0377358490566038;0,000410017356949353;295;206
0;0;0;0;0;0;0;0
0;9;0,0175438596491228;0;0,0175438596491228;0,000567769147669466;293;208
0;0;0;0;0;0;0;0
0;9;0,0169491525423729;0;0,0169491525423729;0,00041763535204194;291;210
0;0;0;0;0;0;0;0
0;9;0,123076923076923;0;0,123076923076923;0,000422521636944274;289;212
0;0;0;0;0;0;0;0
0;9;0,144736842105263;0,0131578947368421;0,131578947368421;0,000528492629008835;287;214
0;0;0;0;0;0;0;0
0;9;0,166666666666667;0,0111111111111111;0,155555555555556;0,000517323919709124;285;216
0;0;0;0;0;0;0;0
0;9;0,0961538461538462;0,0192307692307692;0,0769230769230769;0,000458974255742173;283;218
0;0;0;0;0;0;0;0
0;9;0,0564516129032258;0;0,0564516129032258;0,000601454192735225;281;220
0;0;0;0;0;0;0;0
0;9;0,0150375939849624;0,0300751879699248;-0,0150375939849624;0,000545889866598639;279;222
0;0;0;0;0;0;0;0
0;9;0,0526315789473684;0;0,0526315789473684;0,00053558128316669;277;224
0;0;0;0;0;0;0;0
0;9;0,041958041958042;0,027972027972028;0,013986013986014;0,000518605244088531;275;226
0;0;0;0;0;0;0;0
0;9;0,0684931506849315;0,0136986301369863;0,0547945205479452;0,000599164319413864;273;228
0;0;0;0;0;0;0;0
0;9;0,06875;0,01875;0,05;0,000656552403826571;271;230
0;0;0;0;0;0;0;0
0;9;0,037037037037037;0,00617283950617284;0,0308641975308642;0,000506825479287921;269;232
0;0;0;0;0;0;0;0
0;9;0,0357142857142857;0,0178571428571429;0,0178571428571429;0,000553301925494393;267;234
0;0;0;0;0;0;0;0
0;9;0,101694915254237;0,0225988700564972;0,0790960451977401;0,000619496692918981;265;236
0;0;0;0;0;0;0;0
0;9;0,0487804878048781;0,0439024390243902;0,00487804878048781;0,000754971931835998;263;238
0;0;0;0;0;0;0;0
0;9;0,0241545893719807;0,0289855072463768;-0,00483091787439614;0,000575401359314472;261;240
0;0;0;0;0;0;0;0
