"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00385701787190533;499;2
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00194499903833054;497;4
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00542808286817177;495;6
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00446439957857948;493;8
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000101096985253855;491;10
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000230470014786932;489;12
0;0;0;0;0;0;0;0
0;4;1;0;1;0,000673701565362177;487;14
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000443344705384229;485;16
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000892003682535486;483;18
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000506427790232475;481;20
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000762020381129283;479;22
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000839569179601533;477;24
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000300257767666281;475;26
0;0;0;0;0;0;0;0
0;4;0;0,333333333333333;-0,333333333333333;0,00141740119683924;473;28
0;0;0;0;0;0;0;0
0;4;0;0;0;0,00074772237907615;471;30
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000529283867330933;469;32
0;0;0;0;0;0;0;0
0;4;0,5;0;0,5;0,00152164936989736;467;34
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000690841774914108;465;36
0;0;0;0;0;0;0;0
0;4;0,333333333333333;0;0,333333333333333;0,000475038113047481;463;38
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000623529264102183;461;40
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000961711207211688;459;42
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000598041501475597;457;44
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000782730134439833;455;46
0;0;0;0;0;0;0;0
0;4;0,333333333333333;0;0,333333333333333;0,000830418793485419;453;48
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000615003363084919;451;50
0;0;0;0;0;0;0;0
0;4;0;0;0;0,000735598054424422;449;52
0;0;0;0;0;0;0;0
