"plasticidade";"replications";"speciation";"extinction";"diversif";"traitevolution";"timestep";"timesimulation"
0;0;0;0;0;0;0;0
0;1;0;0;0;0,00228441630437201;499;2
0;0;0;0;0;0;0;0
0;1;0;0;0;0,0018888886136268;497;4
0;0;0;0;0;0;0;0
0;1;0;0;0;0,00101261977913391;495;6
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000273220716382395;493;8
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000473072399891755;491;10
0;0;0;0;0;0;0;0
0;1;1;0;1;0,00220973803655077;489;12
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000541208340583624;487;14
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000438314349747181;485;16
0;0;0;0;0;0;0;0
0;1;0;0;0;0,00054022142260008;483;18
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000390204691801846;481;20
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000524840748100373;479;22
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000503865756481188;477;24
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000354052070443474;475;26
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000485727467057223;473;28
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000648270127871749;471;30
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000503911394814473;469;32
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000436241487393871;467;34
0;0;0;0;0;0;0;0
0;1;0,142857142857143;0;0,142857142857143;0,000416728214493874;465;36
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000571902949038244;463;38
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000522197639388229;461;40
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000618755696780002;459;42
0;0;0;0;0;0;0;0
0;1;0,0909090909090909;0;0,0909090909090909;0,000588256892695823;457;44
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000590006012249575;455;46
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000454980021247847;453;48
0;0;0;0;0;0;0;0
0;1;0,0909090909090909;0;0,0909090909090909;0,000349869125876929;451;50
0;0;0;0;0;0;0;0
0;1;0,0833333333333333;0;0,0833333333333333;0,000499844924712778;449;52
0;0;0;0;0;0;0;0
0;1;0;0;0;0,000441403667519141;447;54
